Species,LAI,Depth
Castilla,0.8,0.25
Castilla,1.1,0.5
Castilla,1.2,0.8
Castilla,1.5,1
Castilla,1.7,1.3
Castilla,1.85,1.6
Castilla,1.9,1.8
Castilla,2,2
Castilla,2.1,3
Luehea,1.2,0.2
Luehea,1.5,0.7
Luehea,2.5,1.2
Luehea,2.9,2.9
Luehea,3.3,4
Luehea,3.5,5
Luehea,3.6,6
Luehea,3.7,7
Luehea,3.9,8
Luehea,3.9,8.9
Luehea,4,9.9
Anacardium,1.5,0.2
Anacardium,2.2,0.5
Anacardium,2.7,0.7
Anacardium,3,1
Anacardium,3.5,1.2
Anacardium,3.8,1.5
Anacardium,3.9,1.5
Anacardium,4.2,1.7
Anacardium,4.5,2
Anacardium,4.9,3
Anacardium,5.3,4
Anacardium,5.6,5
Anacardium,6,6
Anacardium,6.3,7
Anacardium,6.7,8
Anacardium,7,9
Anacardium,7.3,10
Anacardium,7.5,11
Anacardium,7.6,12
Antirrhoea,1.7,0.2
Antirrhoea,2.1,0.5
Antirrhoea,2.6,0.7
Antirrhoea,3.1,0.9
Antirrhoea,3.6,1.2
Antirrhoea,4,1.7
Antirrhoea,4.3,2
Antirrhoea,4.6,3
Antirrhoea,5,4
Antirrhoea,5.4,5
Antirrhoea,5.6,6
Antirrhoea,6,7
Antirrhoea,6.1,8
Cecropia,0.25,0.23
Cecropia,0.27,0.5
Cecropia,0.33,0.74
Cecropia,0.33,1
Cecropia,0.36,1.2
Cecropia,0.32,1.5
Cecropia,0.33,1.8
Cecropia,0.36,2
Cecropia,0.4,3