Species,LAI,PFD
Cecropia,0.23,67.4
Cecropia,0.28,60.5
Cecropia,0.35,56.6
Cecropia,0.35,61.3
Cecropia,0.34,67.7
Cecropia,0.4,69.6
Cecropia,0.35,71.6
Anacardium,0,85.6
Anacardium,1.45,38.3
Anacardium,2.22,30.1
Anacardium,2.7,26.2
Anacardium,3,21.5
Anacardium,3.5,17.45
Anacardium,3.83,16.8
Anacardium,4.16,14.53
Anacardium,4.45,12.9
Anacardium,4.86,16.4
Anacardium,5.3,13
Anacardium,5.55,8.5
Anacardium,5.97,9.5
Anacardium,6.34,6.8
Anacardium,6.72,7.6
Anacardium,7.07,6.1
Anacardium,7.36,4.9
Anacardium,7.55,3.5
Castilla,0,88.5
Castilla,0,64.9
Castilla,0.82,40.9
Castilla,1.1,34.1
Castilla,1.19,23.6
Castilla,1.46,15
Castilla,1.73,17
Castilla,1.85,18.3
Castilla,1.9,16.7
Castilla,2,16.5
Castilla,2.1,12.9
Antirrhoea,1.74,26.3
Antirrhoea,2.06,22.1
Antirrhoea,2.64,18.1
Antirrhoea,3.14,17.5
Antirrhoea,3.54,14.13
Antirrhoea,3.88,16.3
Antirrhoea,4.07,11.6
Antirrhoea,4.3,14.2
Antirrhoea,4.62,11.6
Antirrhoea,5.06,10.1
Antirrhoea,5.45,7.3
Luehea,0,88.5
Luehea,1.25,55
Luehea,1.55,20.1
Luehea,2.5,20.1
Luehea,2.87,17.2
Luehea,3.27,18.8
Luehea,3.53,22.5
Luehea,3.64,18.7
Luehea,3.68,11.9
Luehea,3.88,10.6
Luehea,3.9,8.7