species,fg,crowndepth_a,crowndepth_b,height_a,height_b,height_k,area_a,area_b,height_corr_factor,area_corr_factor,crowndepth_corr_factor
acacme,5,-0.5969961007084831,0.6852484799843792,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
acaldi,1,-0.6749005336882523,0.6456136204616302,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
acalma,1,-0.6749005336882523,0.6456136204616302,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
ade1tr,5,-0.5969961007084831,0.6852484799843792,57.1,0.66,23.2,0.8,1.34,1.017,1.163,1.259334742287724
aegipa,4,-0.5559192058271225,0.7791386152933956,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
alchco,1,-0.07995768798372695,0.42294412720610636,53,0.64,18.8,0.553,1.33,1.017,1.163,1.259334742287724
alchla,2,-0.21092479648209866,0.5322461660814561,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
alibed,4,-0.5559192058271225,0.7791386152933956,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
allops,5,-0.5969961007084831,0.6852484799843792,57.9,0.74,22,0.66,1.35,1.017,1.163,1.259334742287724
alsebl,3,-0.15704564623294204,0.5934110771978132,56.2,0.73,21.7,0.228,1.49,1.017,1.163,1.259334742287724
amaico,3,-0.15704564623294204,0.5934110771978132,63,0.7,20.7,0.721,1.3,1.017,1.163,1.259334742287724
anacex,2,-0.21092479648209866,0.5322461660814561,48.5,0.82,17.6,0.611,1.32,1.017,1.163,1.259334742287724
anaxpa,3,-0.15704564623294204,0.5934110771978132,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
andiin,3,-0.15704564623294204,0.5934110771978132,63.5,0.74,24.6,0.444,1.38,1.017,1.163,1.259334742287724
annoac,3,-0.15704564623294204,0.5934110771978132,62.2,0.72,23.5,0.669,1.32,1.017,1.163,1.259334742287724
annosp,1,-0.6749005336882523,0.6456136204616302,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
apeime,2,0.5411264275571633,0.30132992430201766,53.9,0.71,18.5,0.997,1.15,1.017,1.163,1.259334742287724
apeiti,1,-0.6749005336882523,0.6456136204616302,42.5,0.78,18.7,0.562,1.34,1.017,1.163,1.259334742287724
aphesi,4,-0.5559192058271225,0.7791386152933956,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
appuse,4,-0.5559192058271225,0.7791386152933956,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
ardiba,4,-0.5559192058271225,0.7791386152933956,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
ardife,3,-0.15704564623294204,0.5934110771978132,62.3,0.62,22.4,0.737,1.32,1.017,1.163,1.259334742287724
ardigu,4,-0.5559192058271225,0.7791386152933956,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
aspicr,3,-0.15704564623294204,0.5934110771978132,62.5,0.77,19.6,0.692,1.24,1.017,1.163,1.259334742287724
ast2gr,2,-1.1220008113635838,0.6676347845180313,63.9,0.79,23.7,0.578,1.3,1.017,1.163,1.259334742287724
banagu,1,-0.6749005336882523,0.6456136204616302,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
beilpe,2,-0.33930573832036864,0.7520346459179189,52.4,0.91,26.9,0.583,1.27,1.017,1.163,1.259334742287724
boropa,5,-0.5969961007084831,0.6852484799843792,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
brosal,2,0.026963210500516248,0.49206066859580655,63.2,0.8,29.4,0.939,1.28,1.017,1.163,1.259334742287724
brosgu,3,-0.15704564623294204,0.5934110771978132,62,0.71,19.6,0.79,1.3,1.017,1.163,1.259334742287724
calolo,5,0.7174925962711413,0.3613174167791199,61.1,0.74,20.7,0.495,1.37,1.017,1.163,1.259334742287724
cappfr,3,-0.15704564623294204,0.5934110771978132,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
caseac,3,-0.15704564623294204,0.5934110771978132,61.7,0.74,23.1,0.603,1.34,1.017,1.163,1.259334742287724
casear,1,0.09385689734681532,0.3786355463322297,56.4,0.67,17.3,0.624,1.29,1.017,1.163,1.259334742287724
caseco,3,-0.15704564623294204,0.5934110771978132,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
casegu,3,-0.15704564623294204,0.5934110771978132,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
casesy,5,-0.5969961007084831,0.6852484799843792,57.7,0.69,22.6,0.594,1.34,1.017,1.163,1.259334742287724
cassel,3,-0.5892293312708001,0.5677405943658821,59.9,0.74,23.5,0.536,1.39,1.017,1.163,1.259334742287724
cavapl,2,-1.6557434034607477,0.7638992419487987,51.7,0.77,16.9,0.524,1.21,1.017,1.163,1.259334742287724
cecrin,1,-1.804446641764418,1.1543915143098191,47.1,0.96,22.9,0.254,1.65,1.017,1.163,1.259334742287724
cecrlo,1,-0.6749005336882523,0.6456136204616302,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
cecrob,1,-0.6749005336882523,0.6456136204616302,40.1,0.88,12.4,0.665,1.2,1.017,1.163,1.259334742287724
cedrod,1,-0.6749005336882523,0.6456136204616302,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
ceibpe,2,-1.086691854774692,0.652555100200016,53.6,0.79,23.8,0.288,1.51,1.017,1.163,1.259334742287724
celtsc,2,-0.21092479648209866,0.5322461660814561,58.8,0.76,20.8,0.633,1.37,1.017,1.163,1.259334742287724
cespma,2,-0.21092479648209866,0.5322461660814561,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
cestme,4,-0.5559192058271225,0.7791386152933956,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
cha2sc,3,-0.15704564623294204,0.5934110771978132,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
chimpa,2,-0.21092479648209866,0.5322461660814561,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
chr1ec,3,-0.15704564623294204,0.5934110771978132,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
chr2ar,3,-0.7409221784503521,1.3762605389600293,57.6,0.79,27,0.758,1.24,1.017,1.163,1.259334742287724
chr2ca,3,-0.15704564623294204,0.5934110771978132,63,0.75,22.3,0.585,1.36,1.017,1.163,1.259334742287724
clidde,4,-0.5559192058271225,0.7791386152933956,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
clidoc,4,-0.5559192058271225,0.7791386152933956,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
coccco,3,-0.15704564623294204,0.5934110771978132,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
coccma,3,-0.15704564623294204,0.5934110771978132,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
colugl,2,-0.21092479648209866,0.5322461660814561,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
conobr,4,-0.5559192058271225,0.7791386152933956,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
conoci,4,-0.5559192058271225,0.7791386152933956,56.9,0.71,24.7,1.38,1.15,1.017,1.163,1.259334742287724
cordal,1,-0.7638014550869908,0.7040125556690425,56.6,0.82,21,0.53,1.29,1.017,1.163,1.259334742287724
cordbi,1,-1.1175610797818996,0.7451171297813746,49.9,0.86,23.9,0.27,1.44,1.017,1.163,1.259334742287724
cordla,5,-1.5095217559955936,1.144644221053861,58.3,0.64,20.1,0.34,1.36,1.017,1.163,1.259334742287724
cou2cu,3,0.26222583885756867,0.2509430330745653,57.1,0.74,24.2,0.577,1.31,1.017,1.163,1.259334742287724
couthe,5,-0.5969961007084831,0.6852484799843792,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
crotbi,1,-0.6749005336882523,0.6456136204616302,50,0.77,18.9,0.732,1.34,1.017,1.163,1.259334742287724
cupaci,5,-0.5969961007084831,0.6852484799843792,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
cupala,2,-0.21092479648209866,0.5322461660814561,55.9,0.73,21.9,0.612,1.36,1.017,1.163,1.259334742287724
cuparu,3,-0.15704564623294204,0.5934110771978132,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
cupasy,3,-0.10485906561677608,0.6528703432391603,61.4,0.65,19.4,0.8,1.36,1.017,1.163,1.259334742287724
cyphha,4,-0.5559192058271225,0.7791386152933956,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
dendar,2,-0.21092479648209866,0.5322461660814561,57.1,0.71,24.1,0.531,1.38,1.017,1.163,1.259334742287724
des2pa,3,-0.15390436266090074,0.8011924362594106,60.1,0.67,22.7,0.603,1.34,1.017,1.163,1.259334742287724
dio2ar,3,-0.15704564623294204,0.5934110771978132,58.8,0.67,17.8,0.47,1.35,1.017,1.163,1.259334742287724
diptpa,2,-1.8034042258147038,0.9306708620686638,64.5,0.8,23,0.53,1.47,1.017,1.163,1.259334742287724
drypst,3,-0.16867121565554716,0.6202231451857103,55.4,0.78,22.6,0.794,1.27,1.017,1.163,1.259334742287724
entesc,2,-0.21092479648209866,0.5322461660814561,55.5,0.77,18.9,0.88,1.23,1.017,1.163,1.259334742287724
ery1co,5,-0.5969961007084831,0.6852484799843792,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
ery2ma,4,-0.5559192058271225,0.7791386152933956,60.6,0.68,23,0.544,1.35,1.017,1.163,1.259334742287724
ery2pa,3,-0.15704564623294204,0.5934110771978132,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
eugeco,5,-0.20374373831830944,0.6006012229028289,62.5,0.75,22.1,0.56,1.35,1.017,1.163,1.259334742287724
eugega,3,-0.09898370610273306,0.4447059671999082,61.8,0.71,22,0.598,1.33,1.017,1.163,1.259334742287724
eugene,3,-0.15704564623294204,0.5934110771978132,61.8,0.72,24.4,0.65,1.38,1.017,1.163,1.259334742287724
eugeoe,5,0.019049801904178675,0.5552146277095246,54.8,0.77,26.9,0.803,1.34,1.017,1.163,1.259334742287724
faraoc,3,-0.15704564623294204,0.5934110771978132,59.1,0.65,20.5,0.663,1.25,1.017,1.163,1.259334742287724
ficuin,1,-0.6749005336882523,0.6456136204616302,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
ficuma,2,-0.21092479648209866,0.5322461660814561,51.6,0.81,19.5,0.382,1.41,1.017,1.163,1.259334742287724
ficuto,5,-0.5969961007084831,0.6852484799843792,58.3,0.66,23.3,0.573,1.33,1.017,1.163,1.259334742287724
ficuyo,2,-0.21092479648209866,0.5322461660814561,44.1,0.86,16.7,0.491,1.44,1.017,1.163,1.259334742287724
gar2in,3,-0.007310961321052336,0.6874359288074757,57.6,0.77,26.7,0.819,1.26,1.017,1.163,1.259334742287724
gar2ma,4,-0.5559192058271225,0.7791386152933956,58,0.72,22.8,0.616,1.36,1.017,1.163,1.259334742287724
geniam,2,-0.21092479648209866,0.5322461660814561,63.8,0.66,24,0.594,1.4,1.017,1.163,1.259334742287724
guapst,2,-1.487321946214359,0.8956983997161263,64.4,0.7,21.9,0.597,1.29,1.017,1.163,1.259334742287724
guargr,2,-0.21092479648209866,0.5322461660814561,59.3,0.74,21.8,0.601,1.34,1.017,1.163,1.259334742287724
guargu,3,-0.9256399309092821,0.8014081647748497,60.5,0.6,19.5,0.517,1.32,1.017,1.163,1.259334742287724
guarsp,4,-0.5425763541623276,0.8359744604271228,61.9,0.7,23.9,0.263,1.44,1.017,1.163,1.259334742287724
guatdu,5,-0.12566760894482698,0.5751094517509002,65,0.74,22,0.635,1.29,1.017,1.163,1.259334742287724
guazul,2,-0.1633962717240074,0.38821728361342167,48.3,0.7,15.4,0.618,1.3,1.017,1.163,1.259334742287724
guetfo,3,-0.15704564623294204,0.5934110771978132,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
gustsu,2,-0.21092479648209866,0.5322461660814561,54.6,0.69,21.8,0.615,1.31,1.017,1.163,1.259334742287724
hameax,4,-0.5559192058271225,0.7791386152933956,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
hamepa,4,-0.5559192058271225,0.7791386152933956,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
hampap,1,-0.6749005336882523,0.6456136204616302,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
hassfl,5,-0.03906453604035249,0.4047750927152302,60.7,0.54,20.3,0.683,1.28,1.017,1.163,1.259334742287724
heisac,3,-0.15704564623294204,0.5934110771978132,58.9,0.66,20.5,0.875,1.32,1.017,1.163,1.259334742287724
heisco,2,-0.6688275214227919,0.6320655564096566,48.2,0.68,15.7,0.652,1.37,1.017,1.163,1.259334742287724
herrpu,3,-0.15704564623294204,0.5934110771978132,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
hirtam,5,-0.5969961007084831,0.6852484799843792,59.3,0.62,17.6,0.485,1.42,1.017,1.163,1.259334742287724
hirttr,3,-0.019867008303187862,0.569705835444108,57.3,0.71,23.3,0.927,1.25,1.017,1.163,1.259334742287724
huracr,2,-1.035318043231251,0.6318626612168654,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
hybapr,3,-0.581041808624986,0.9036425263901431,61.8,0.51,22.6,0.834,1.26,1.017,1.163,1.259334742287724
hyeral,2,1.064255309350329,0.24507805404466482,64.3,0.7,23,0.554,1.38,1.017,1.163,1.259334742287724
ingaco,1,-0.6749005336882523,0.6456136204616302,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
ingafa,5,-0.5969961007084831,0.6852484799843792,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
ingago,5,-0.5969961007084831,0.6852484799843792,59,0.72,23.1,0.639,1.37,1.017,1.163,1.259334742287724
ingam1,5,-0.5969961007084831,0.6852484799843792,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
ingama,1,-0.9978056718299599,0.89336410078907,56.1,0.69,17.5,0.658,1.4,1.017,1.163,1.259334742287724
ingami,5,-0.5969961007084831,0.6852484799843792,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
ingape,1,-0.6749005336882523,0.6456136204616302,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
ingapu,1,-0.6749005336882523,0.6456136204616302,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
ingaqu,5,-0.5969961007084831,0.6852484799843792,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
ingaru,1,-0.6749005336882523,0.6456136204616302,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
ingas1,5,-0.5969961007084831,0.6852484799843792,54.6,0.67,18.7,0.735,1.4,1.017,1.163,1.259334742287724
ingasa,1,-0.6749005336882523,0.6456136204616302,58.3,0.74,22.9,0.657,1.38,1.017,1.163,1.259334742287724
ingasp,2,-0.21092479648209866,0.5322461660814561,53.5,0.73,22.1,0.541,1.37,1.017,1.163,1.259334742287724
ingath,2,-0.21092479648209866,0.5322461660814561,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
ingaum,5,-0.5969961007084831,0.6852484799843792,63.5,0.59,17.2,0.881,1.32,1.017,1.163,1.259334742287724
jac1co,2,-0.22278481238877595,0.4644631672957722,51.4,0.75,14.6,0.5,1.36,1.017,1.163,1.259334742287724
koanwe,4,-0.5559192058271225,0.7791386152933956,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
laciag,4,-0.38328096174866,0.8380573624878644,62,0.71,21.9,0.467,1.35,1.017,1.163,1.259334742287724
lacmpa,2,-0.21092479648209866,0.5322461660814561,53.4,0.69,17.4,0.538,1.31,1.017,1.163,1.259334742287724
laetpr,2,-0.21092479648209866,0.5322461660814561,48.2,0.81,17.2,0.591,1.4,1.017,1.163,1.259334742287724
laetth,4,-0.5559192058271225,0.7791386152933956,60.3,0.65,18,0.705,1.38,1.017,1.163,1.259334742287724
lafopu,2,-0.21092479648209866,0.5322461660814561,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
leandi,4,-0.5559192058271225,0.7791386152933956,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
licahy,3,-0.15704564623294204,0.5934110771978132,62.5,0.67,20.7,0.725,1.36,1.017,1.163,1.259334742287724
licapl,5,-0.5969961007084831,0.6852484799843792,61,0.72,23.4,0.639,1.24,1.017,1.163,1.259334742287724
lindla,2,-0.21092479648209866,0.5322461660814561,57.4,0.71,23.3,0.488,1.35,1.017,1.163,1.259334742287724
loncla,5,-1.4301189865976962,0.9012414649026299,63.9,0.75,21.4,0.189,1.53,1.017,1.163,1.259334742287724
lozapi,1,-0.6749005336882523,0.6456136204616302,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
luehse,2,-0.21092479648209866,0.5322461660814561,55.1,0.78,26.9,0.526,1.33,1.017,1.163,1.259334742287724
maclti,2,-0.21092479648209866,0.5322461660814561,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
