fg,dbh,q025,q05,q25,q50,q75,q95,q975
fg1,1,0.017413565529854496,0.01798150620520435,0.019785152504889766,0.02112612847834095,0.02232547791263474,0.02412842805465999,0.02475437704350835
fg1,1.0427193104407961,0.019005259349708,0.019594311786291337,0.021353482839512713,0.022687994042916864,0.023873258639637105,0.025681269040611184,0.026290776049902313
fg1,1.0872635603661294,0.02074506666827759,0.021294531582270366,0.02303266654421121,0.024346471648822206,0.02552914667624509,0.027321240762327403,0.027930510845269048
fg1,1.1337107099323753,0.02257476981980504,0.023162846876268562,0.024853841208690424,0.026138032770919722,0.02729731025222879,0.02910011910809447,0.02967641876960374
fg1,1.1821420497000317,0.024594296532784367,0.025172233432475828,0.026793968687944578,0.028059042281928386,0.029190685983772446,0.030952593844146597,0.03152510156432047
fg1,1.2326423429062865,0.026783938643715532,0.027339724755403402,0.02889097864951651,0.030132394785148627,0.03120588771667388,0.032919556428016646,0.03349537395576518
fg1,1.2852999738153703,0.02912982794938368,0.029672914808069554,0.031164500542584544,0.03234991677570191,0.03339454547004873,0.0350388554219011,0.03560255588885781
fg1,1.3402071024063362,0.031656394995994805,0.03216192215594948,0.033602171539705544,0.034722958023978595,0.03572863268010059,0.037317641189154344,0.03783861554962058
fg1,1.3974598256689923,0.034340049548473375,0.034791222662160795,0.036211803946791826,0.03724917305166241,0.03822499199850057,0.03977735337876358,0.040238868874618104
fg1,1.4571583457902868,0.03720825034475916,0.03766468766365825,0.038974888757402786,0.03996331921473727,0.04092549446347461,0.04237654777123183,0.04279398405013175
fg1,1.5194071455254992,0.0402010681812124,0.04066099952834963,0.04193296906652276,0.04287329887192723,0.043799383208220403,0.045205796342830666,0.04561180268980779
fg1,1.5843151710611667,0.0433806109063763,0.043781260670304065,0.045042991087308526,0.04595825702206116,0.04686937155880782,0.0482213724967851,0.048644418163851046
fg1,1.6519960226897918,0.046706663360673986,0.047060544862791424,0.048324873865534176,0.04924546980748709,0.05015020293094374,0.05154539467675035,0.05198699255621482
fg1,1.7225681536300375,0.050142113753462406,0.05052486573750389,0.05178177450983457,0.05273320767284079,0.05365904038994672,0.055145778931516294,0.055608221806523764
fg1,1.796155077340388,0.05366022808465363,0.05409795916500572,0.05542356367754771,0.05640228654191882,0.05741246983902824,0.05895764203359408,0.05951309011060181
fg1,1.872885583689104,0.05740067144696842,0.05783628483525991,0.059224653302591246,0.0602634474651106,0.06136767947435215,0.06307175202149434,0.06372237922684088
fg1,1.9528939643588106,0.061242990751961386,0.061696460171716955,0.0632097532232115,0.06434179398779152,0.06557764857186758,0.06742403778755711,0.06804795781023938
fg1,2.036320247880212,0.06520843080825435,0.06571790870242966,0.06734564679876018,0.06860308476742044,0.06990756938283174,0.07187388966305992,0.07256469826474564
fg1,2.123310444706285,0.06926810196550387,0.06989289139081384,0.07165465626010359,0.0730120267532583,0.07438824185807973,0.07647914568743037,0.07721350031464717
fg1,2.214016802755878,0.07350697007425368,0.07425778410560209,0.0761254024065119,0.07754923829153759,0.07902402304756531,0.08115730265600105,0.08190203334195893
fg1,2.308598073873945,0.07791464219611242,0.07872142688085881,0.080726897574181,0.08222859245991497,0.08377594882338833,0.08590135160536327,0.08664127811264322
fg1,2.40721979167479,0.08248650067575143,0.08327842090642668,0.08542437112328924,0.08698058637982885,0.08851891812664132,0.0906345319920367,0.09127646070802177
fg1,2.510054561254574,0.08719487789311117,0.08793857658330732,0.09019039363609346,0.09172994200878776,0.09325788441595327,0.09529184628605601,0.09597547305416354
fg1,2.617282361280145,0.09193073208813017,0.0926856503058967,0.0949871605988184,0.09652308346226263,0.09799302908841119,0.09994986207824716,0.10056589433304672
fg1,2.7290908589828913,0.09667461408114973,0.0975580389636253,0.09976643297579475,0.10126463977874292,0.10265202129460155,0.10460428204776948,0.10514436792920265
fg1,2.84567573860892,0.10152645536480345,0.10229111191131682,0.10449457054827463,0.10593452036198006,0.10726058849977935,0.10912067891202387,0.1097596056889819
fg1,2.9672410439003962,0.10624313200185834,0.10700987549571002,0.10914987888093812,0.1104985869758585,0.11179613418627005,0.113645380497438,0.11425657147086828
fg1,3.0939995352074496,0.11096632948147407,0.11167153995979658,0.11368051999172404,0.11500614826816898,0.11622716254500876,0.1181340574211843,0.11876543666063204
fg1,3.226173061855655,0.11543865125942282,0.11609986539169025,0.1180698549576704,0.11943212138156205,0.12063252395214491,0.12260906950389157,0.12317559428983972
fg1,3.3639929504208004,0.1198743394211487,0.12040110063550435,0.12242249121719645,0.12377102215767069,0.12499033586863267,0.12703210332838288,0.1276756092626226
fg1,3.507700409590476,0.12401809830457888,0.12461124085042972,0.12664502235600578,0.12801836219240015,0.12931176083698304,0.13138779269437634,0.13207280575656846
fg1,3.6575469523210797,0.12807484906985545,0.12870320574090938,0.13077973718346853,0.13223304479661951,0.13359352764547477,0.13573410330451413,0.1364102531721074
fg1,3.8137948360290714,0.13210258372346873,0.13273416327596024,0.13489370848352847,0.13639463610344618,0.13783825119245,0.1400249954566725,0.1407974169946789
fg1,3.9767175215869024,0.13605244664012775,0.13673007968014395,0.13898439481544006,0.14052606275771,0.14205626795688128,0.14432436812885915,0.1450983560837944
fg1,4.146600151926927,0.14001831245266447,0.14078962737317227,0.14306749159922413,0.1446696590307775,0.14625599140065695,0.14860468033733948,0.14942982395919976
fg1,4.323740051090946,0.14403864212103606,0.1448239002353949,0.14715977651884174,0.14879238469806494,0.15044919294623674,0.15288689300336988,0.15382880170760582
fg1,4.508447244598803,0.14809781431732305,0.14890114748354102,0.15130225819885892,0.15297942698172196,0.1546711426937911,0.15723123398526784,0.15818835213344906
fg1,4.701045002046771,0.15226064608277215,0.1530331232551258,0.15548425896115844,0.15720464766804348,0.15892753644933963,0.16155673723040126,0.16252530065077775
fg1,4.90187040288536,0.1564667237980285,0.1572511857162019,0.15972695089132324,0.16149207841038873,0.16323737287080078,0.16591164025170166,0.16690951968532075
fg1,5.111274926366771,0.16073585655132597,0.16152481597939367,0.1640285736873056,0.1658480015370044,0.16760006949296463,0.17034098561346603,0.17133855764646255
fg1,5.329625066694489,0.16510409723351158,0.16591013974125185,0.16843090814469364,0.17027536347940786,0.17203812206081093,0.17485305628412945,0.17585856251082102
fg1,5.557302974451661,0.1695815134583947,0.17036855109003682,0.17292465933861303,0.17476947572716278,0.17655258541316443,0.17938752610414624,0.1804246628103155
fg1,5.794707125430821,0.17413234759480517,0.1749300698944282,0.17749919165007627,0.17936023475463925,0.18111890823616256,0.18405071287232067,0.18506196884475334
fg1,6.042253018035593,0.17881776432751811,0.17962292645556466,0.18219922620696627,0.184040885436292,0.18582045058528587,0.18879087518831045,0.18974683691343383
fg1,6.300373900474892,0.18363159318181646,0.18439367304329882,0.1870059729422155,0.18883016073083872,0.19063238196841165,0.19359387079448895,0.19450532579469615
fg1,6.56952152902237,0.18851100577317412,0.1892947240949413,0.1918929994259666,0.19373904195121988,0.19553268599771823,0.1985259885731799,0.199426662551688
fg1,6.8501669586681695,0.19348211608778593,0.1942519656320446,0.19689252093349338,0.1987644415273744,0.20056980912837793,0.2035611901537201,0.2045177528815853
fg1,7.142801367546799,0.19866433571286887,0.19940641801478942,0.20201435818166116,0.20389227469837082,0.2057446903250125,0.20876543278812468,0.20959220742565787
fg1,7.447936916583974,0.2039187203176488,0.20462072403437023,0.20730016703995946,0.20918916292721723,0.21100831119200764,0.2140878023061016,0.21487129672687563
fg1,7.766107645866991,0.20928708330564594,0.2100287077904075,0.21269441408743434,0.21459689851060257,0.2164050775265227,0.21947416263954017,0.22035433459278092
fg1,8.097870409307422,0.21474266350188528,0.21552628020288547,0.21823859861874614,0.22012933613370755,0.22194886344018547,0.22500113289132642,0.22591101758312715
fg1,8.443805849231962,0.22035238903406942,0.22120164317270616,0.2238886111032828,0.22578789678495043,0.22763794742915894,0.23067274088928588,0.23160616077365087
fg1,8.804519412607112,0.22615644393688408,0.22699217325247342,0.22968281797388557,0.23160789872366966,0.23351416665342595,0.23653167308030085,0.23742001707709304
fg1,9.18064241067629,0.2320988059025618,0.23289699185470197,0.23561214452832946,0.2375811072482481,0.23952080404845147,0.2425147929899491,0.2434440838668026
fg1,9.572833123863914,0.238139356635186,0.23898045410564267,0.24170185289631307,0.24370660804483352,0.24569558770855598,0.2486544160445278,0.24959199869728121
fg1,9.981777953880192,0.24429968146207362,0.24516406925892495,0.24794607709415317,0.249968717907473,0.2520059028219437,0.25495164613239957,0.2559187247097772
fg1,10.408192625043093,0.2507009357231659,0.2515347694320387,0.25433343112898743,0.2564047516911565,0.2585025885959399,0.2614186732965822,0.2624064163084877
fg1,10.852823436919913,0.25714681122895,0.25802121056773464,0.26088712976782136,0.2629716888900225,0.2651670638092903,0.2681492026495343,0.2691592052319394
fg1,11.316448570480842,0.26374454510419676,0.2646481611358506,0.2676318791367859,0.26974423855951246,0.27199049069866643,0.27498424369965374,0.27604215059137444
fg1,11.799879450050515,0.27052216029863896,0.2715015401816249,0.2744973973623431,0.27672272033747736,0.2790295787088303,0.28207440839074766,0.28314867758871515
fg1,12.303962163441193,0.27740778388029746,0.27847944164784455,0.28153152599314846,0.2838609713519983,0.2862380860684539,0.28930934088668103,0.29044294206690263
fg1,12.829578942753052,0.28455572111694905,0.28560014168456005,0.28873741098053685,0.2911398221584576,0.2936122574111373,0.2968091359062978,0.29791373906060803
fg1,13.37764970843322,0.2917942355250897,0.2929294666411128,0.29613465191798194,0.29861118295776834,0.30115225546817126,0.3045422562489832,0.3056791211748933
fg1,13.949133679296002,0.2991843157441225,0.30038293766557067,0.3037472044216763,0.3062886852961268,0.30890375766376804,0.3124426387552476,0.3137170226207352
fg1,14.545031051322013,0.3067083854336141,0.30800749481818324,0.3115522713533591,0.3141635087456867,0.31688860568754773,0.32057232642170486,0.32194303953210895
fg1,15.166384748174456,0.3144634966357143,0.31582626542303155,0.3195503005634059,0.3222125662182601,0.3250750309183293,0.32892730463955305,0.3303290955564815
fg1,15.814282246496274,0.32238212183226156,0.3237332209007365,0.3277287735163468,0.33051959056703334,0.33348075433294216,0.3376142917325806,0.33898290363178857
fg1,16.489857479182717,0.3305162366834333,0.3319150099704002,0.33609981087643204,0.33902849114408506,0.3420836886872352,0.34646770895173834,0.3478460988249494
fg1,17.194292819960417,0.33887374702773826,0.34023457517412886,0.3446440923941182,0.34774689517435453,0.3509626410380317,0.35555739083832416,0.3570619318153088
fg1,17.928821152746256,0.34725414411958055,0.3487373491908464,0.35346206915655015,0.3566750275005458,0.3600479278545048,0.3649299273238456,0.3664703079914506
fg1,18.694728029407933,0.3559161756676077,0.3574311232713354,0.36248148746766873,0.365812773371305,0.3694142858330479,0.3745433625511458,0.3762099293753982
fg1,19.49335391970246,0.3648533019019607,0.36639432492927293,0.3717029836026744,0.37522905392305805,0.379005457753703,0.38435585477379686,0.386118299866996
fg1,20.32609655733054,0.3740489851296675,0.3755747630295815,0.38113626538869794,0.3849011921183088,0.38879469357234386,0.39445598546543686,0.3964446521055777
fg1,21.194413386212737,0.3832871550992315,0.3849468474538136,0.3907984036449199,0.39479050558217715,0.39894630899878875,0.4048309231264378,0.406981939215437
fg1,22.099824111268923,0.3927829720426425,0.39460196540546777,0.4007367246534034,0.40494867886687125,0.40930539837954527,0.41558331063301124,0.41777802862754304
fg1,23.04391335816522,0.40255591303257804,0.40439887380298134,0.41088078554539587,0.41537814082491137,0.4199715734130857,0.42665959621552024,0.42889510265764463
fg1,24.02833344668349,0.4124895906687087,0.41439216810914886,0.4212903585513807,0.4260682638878463,0.43089094693451474,0.437945398175696,0.44028034831734303
fg1,25.054807282567324,0.4226112717633774,0.42466503931731403,0.4320140517204606,0.4370410213222914,0.44210967278097857,0.44961194620822165,0.4521457440206521
fg1,26.125131372905635,0.4331344042022608,0.43520373066507734,0.4430102622456126,0.4482756579263785,0.45357284696950284,0.46155769003321834,0.4642080693857636
fg1,27.241178970331372,0.4439374657998016,0.44606780954720215,0.4541887732549489,0.4598334061743247,0.4654220316006912,0.47377382466577733,0.4766623939940457
fg1,28.40490335153824,0.4549229568723128,0.45711497144951074,0.465746278091618,0.47163728444972586,0.4775622214062489,0.48636597486649386,0.4895069526513935
fg1,29.61834123585341,0.4661006155763924,0.4685549247654943,0.47757399929072764,0.48372501150529,0.4899586693957151,0.4993147671643698,0.5025849012405965
fg1,30.883616349849277,0.47747269586693714,0.48029593185154945,0.48965718583473744,0.49617961937900557,0.5027751017287391,0.5125960966504858,0.5161250875811075
fg1,32.20294314423293,0.4893994994142458,0.49204348267065495,0.5021342822637365,0.508913088466664,0.5158963327004787,0.5262296347570428,0.5300179404906485
fg1,33.578630669518724,0.5013265184264536,0.5042800320912276,0.5148885034470929,0.5219821552992433,0.529404557689737,0.5401928748173955,0.5440811089246034
fg1,35.01308661726673,0.5138237966103477,0.5168009839885043,0.5279468897817071,0.5353690241968724,0.543232671224811,0.5546848356387074,0.5586680224747497
fg1,36.50882153396023,0.5264770708001911,0.5295740245053582,0.5413420383214549,0.5491902385340617,0.5573703287651413,0.5694491958422933,0.573676145957303
fg1,38.0684532148971,0.539350182211857,0.5427241398752709,0.5551039354873926,0.5633203932812862,0.5719574519161389,0.5846502287326832,0.5890863472047166
fg1,39.6947112857852,0.5526725606997573,0.5561118141261401,0.5691863240294741,0.5777616916311289,0.5868716465728973,0.6001971996149971,0.6048273256226115
fg1,41.39044198006045,0.566110057761785,0.5699796504067777,0.5836057935824424,0.5926315516862821,0.602264233740098,0.6161997889185956,0.6211454884426698
fg1,43.158613120288415,0.5799929140262023,0.5839965639671214,0.598374643414476,0.6078824589453755,0.6179821550682686,0.6326323814468631,0.6378900758872251
fg1,45.00231931236823,0.5942057171581867,0.5985746472603279,0.6135006665812375,0.6235077240935687,0.6341314535002317,0.6495936244626664,0.6550159227732786
fg1,46.924787361629114,0.6088596217737349,0.6134385609825846,0.6290230789441733,0.6394884017933042,0.650675875585454,0.6670205647061161,0.6725888718948333
fg1,48.929381920298894,0.6236209413003098,0.6285912703893036,0.6449042965587324,0.6559932993189814,0.6676780882495026,0.684903873426099,0.6907367706299289
fg1,51.01961137622842,0.6388726862519065,0.6440046850551071,0.6612622114997712,0.672870406534968,0.685130738709795,0.7031656973256851,0.7094050943778696
fg1,53.199133993178286,0.6543345770310633,0.659906480965534,0.6781319523205331,0.6902041921604081,0.7030406198627792,0.7219459291887816,0.728436389174349
fg1,55.471764313414404,0.6703352837761535,0.6760198491012022,0.6953400912514444,0.7079865857190665,0.7214435388923912,0.7411355611305399,0.7480725779590703
fg1,57.8414798338178,0.6867008612666451,0.6927413341669835,0.7129442865734774,0.7261600325625581,0.7403650970785782,0.7609805622358801,0.7681662261781129
fg1,60.31242796719373,0.7035182170500417,0.7098889982207777,0.7310124827551245,0.7448773141920574,0.7596781868369569,0.7813645644969334,0.7887879269599647
fg1,62.8889333009624,0.7207188553521037,0.7274992630269875,0.7496164953972382,0.764036732587009,0.7795478417934587,0.8022512287279536,0.8099887508166669
fg1,65.57550516593676,0.7383414819729283,0.7454957195333447,0.7686053663707295,0.7836704974201372,0.7999537543076347,0.823737676198761,0.8318928831272612
fg2,1,0.015415231475367776,0.016459101115435717,0.01992990681651701,0.022309047502503235,0.024682591080124737,0.02752964219444847,0.028120466047669136
fg2,1.0487381987393707,0.01770590599480057,0.018636322959240854,0.021704869229873965,0.023847503115145306,0.026037408822081835,0.028754904406696927,0.029321018242886843
fg2,1.0998518094951,0.02016788356157145,0.020999516642517563,0.02363303353051208,0.025478123150471405,0.027472235936428394,0.030028161554168497,0.03057030166707324
fg2,1.1534566055701287,0.022889478366367247,0.023456979324619653,0.025677403107693255,0.02723522984720171,0.029000932207232537,0.03133138887858899,0.031860712823941435
fg2,1.2096740028496455,0.025704063693309444,0.026144349012410965,0.027859512314833836,0.029132236887958244,0.03064077742421895,0.03273024492727054,0.03326624951637778
fg2,1.2686313348103817,0.02841598714173909,0.028807754042703755,0.030136502501612143,0.031139374879348918,0.03238688290394854,0.03417631695863462,0.03469213673159641
fg2,1.3304621409333632,0.031040047635063708,0.03141193682018434,0.03250993248607258,0.033317921152956294,0.03426713444313707,0.03574661505993254,0.036205968746413963
fg2,1.3953064691733823,0.03352966686696018,0.033893350224694814,0.03490098905351389,0.03557994564492339,0.03637397354135826,0.037536527443729435,0.03791308712154563
fg2,1.4633111931702842,0.035947127483595714,0.03625121247840616,0.03723393689232901,0.03791612846935549,0.03864533885954739,0.039726964792390636,0.04012169243677523
fg2,1.5346303449205632,0.038269096142447244,0.03857524076608631,0.03954986624743618,0.04023796461676967,0.04103571918935725,0.04238205926725002,0.04287161014617139
fg2,1.6094254636627707,0.040510192461313335,0.04081781535878526,0.04181378172708573,0.04259984316403735,0.04355947486880349,0.045162804929851204,0.0456328148958654
fg2,1.6878659617669707,0.042740468395356834,0.043033073195806654,0.04410761858484191,0.045034566871839314,0.046246166863947925,0.04792622858587966,0.048379676997340255
fg2,1.7701295084569888,0.04491282897178488,0.04526630327276712,0.0464310612055789,0.04756826539611447,0.04896102920291374,0.05057356999457289,0.05097560125697462
fg2,1.85640243223459,0.04709921261490884,0.047480252864583614,0.048772037970590695,0.050209904139108315,0.051633332258868465,0.05314055614452245,0.053528393791486585
fg2,1.9468801429170908,0.04934359820400482,0.049706165286784766,0.051247778095454485,0.052880701332059375,0.054234348806874694,0.05561524586403097,0.055965491238414475
fg2,2.0417675742443184,0.05159092186684993,0.05197949658563212,0.053819280480955425,0.05553898854581826,0.056770874835591956,0.0580032357546975,0.05838115035044181
fg2,2.141279648057441,0.05390710950556346,0.05431681313620352,0.05645314886155197,0.05815042009637349,0.05922974139897847,0.060344675118779154,0.06071349833078527
fg2,2.245641761101034,0.056199155556916264,0.0567578985467937,0.05911625786314194,0.06069449497256875,0.06163295043010545,0.06273209677588402,0.06302046915915271
fg2,2.355090295551007,0.05865634134351638,0.05920597624342623,0.06178439054014177,0.0631583462051685,0.06402464526306939,0.06506354827031172,0.06534065574237606
fg2,2.4698731544247354,0.06118352238264909,0.061803340047231904,0.06442293379238204,0.0655754706431061,0.0663805684247453,0.06738089722608745,0.0676787300378397
fg2,2.5902503230861247,0.06380279518605625,0.06443257918092161,0.06700483880577415,0.06796396536804117,0.06875145037096811,0.06975492141819033,0.07002334150179101
fg2,2.7164944581174155,0.06647256312214393,0.06718474468783542,0.06947456443518149,0.07033449990765002,0.07112017395507522,0.07208892801669965,0.07240491432306168
fg2,2.848891504891541,0.06920476758100602,0.06995940129490028,0.0719228233211561,0.07272126399887635,0.0734904675734297,0.07452134988323966,0.07477950922515682
fg2,2.9877413452438506,0.07199187498216555,0.07274779408288126,0.07431955751122582,0.07510893330926241,0.075906155719560775,0.07695764240603434,0.0772883435364282
fg2,3.1333584767101805,0.07478571831740648,0.07540874671042665,0.07671254034085642,0.07753953568381569,0.07834757817300819,0.07942686642660818,0.07980117899502166
fg2,3.286072724869773,0.07746893564386648,0.07794809059558436,0.07914438841945494,0.07997982217272954,0.08079593228113188,0.08192710254484505,0.08233310707731951
fg2,3.446229990406502,0.07999095580093134,0.08039485886167015,0.08158832424148413,0.08244317644507206,0.08330711689237397,0.08453428848920698,0.0849664108983002
fg2,3.614193032580513,0.08244963611366164,0.08278758588025335,0.08404010812677495,0.08494687166887323,0.08586453795158659,0.08719597950698697,0.08757570998239789
fg2,3.7903422908848716,0.08489236193635981,0.08524353405322375,0.08651375064101222,0.08747368036593711,0.08845612434982059,0.0898935967978106,0.09030879077118303
fg2,3.9750767467482597,0.08735008526562507,0.08769501014634866,0.08901474477428432,0.09003396804664866,0.09107434019609004,0.0926489214694519,0.09308240954549243
fg2,4.168814827235528,0.08984497063572192,0.09018957756621596,0.09154420769479377,0.09262554833231085,0.09375340188360254,0.09545082466829732,0.0959011575699476
fg2,4.371995352792968,0.092411114692235,0.09272843782130921,0.09412406116481287,0.09523931422456222,0.09647840179459907,0.09829922918643151,0.09888235485326254
fg2,4.5850785311849975,0.09502468275479507,0.095354363984687,0.09676700163947666,0.09790410740627944,0.09923155957306498,0.10117272739370683,0.10183129981901448
fg2,4.808546999873515,0.09770565286337472,0.09803943440921278,0.0994705659776086,0.10063225683431429,0.10203656523824409,0.10414270210020758,0.10484834886312172
fg2,5.042906919200955,0.10043506427465318,0.1007970582905925,0.10223366911550479,0.10342389604103028,0.10486870692295142,0.10717308136975774,0.1079148754817404
fg2,5.288689118853119,0.10323916976375007,0.10363459764195986,0.10508027684974236,0.10627286691410137,0.10776204464775219,0.11024960931387218,0.11099979179305218
fg2,5.546450300198529,0.10613365675495198,0.10656129447964582,0.10800639384383631,0.10920364389757628,0.11070342326773953,0.11334553052561215,0.11414441837434702
fg2,5.816774297227648,0.10908173660926934,0.1095634436342135,0.11100796509861348,0.11219476159376204,0.11371548421329394,0.11648049866890862,0.11731000829984088
fg2,6.1002733989479925,0.11213757921708206,0.11264060509203563,0.11408324731051701,0.11527592805091144,0.11679238322449713,0.1196612804914885,0.12055704095652253
fg2,6.397589736230417,0.11525229441507508,0.115796673138485,0.11724304214651476,0.11843886991934663,0.11994935582761033,0.12285612235938913,0.12380291036521947
fg2,6.709396736247773,0.11847130490755978,0.11903312873714152,0.12048848091216952,0.12169294726594167,0.12319835849181103,0.12613547193931135,0.12714239296436866
fg2,7.036400647800303,0.12178254407969606,0.12234952137328785,0.12381710400298873,0.12502259926944786,0.12654219271356118,0.129493575645967,0.13041792357380225
fg2,7.379342140982632,0.1252200049482962,0.12576624832723365,0.12725060669802185,0.1284348801951179,0.129947682365406,0.1329121485194513,0.13385591214078746
fg2,7.738997984815656,0.12871437993843038,0.1292590813451523,0.13075503968414104,0.13195682272300857,0.13344739552783288,0.13643697407520455,0.13737263968152327
fg2,8.11618280664319,0.13233185988944993,0.1328369492065531,0.1343606274317403,0.13555623924091909,0.13704484951803927,0.13999642260751582,0.14091093244514538
fg2,8.511750937278432,0.13603173334094698,0.1365248926704496,0.13806910994424015,0.13927268937427303,0.1407597906417388,0.14366354255805075,0.14461023929781194
fg2,8.926598346079533,0.13981666319018932,0.14034313188576933,0.14188084993514258,0.14308978193868382,0.1445779516432847,0.1473982786431492,0.14838983249182577
fg2,9.361664670337294,0.14368460703315872,0.1442306794191175,0.14581484109699422,0.14701699073344426,0.14849793681404028,0.15128740741357433,0.15222571649534983
fg2,9.817935343571543,0.14766000448424585,0.1482283839451166,0.1498325508303113,0.1510459132957172,0.1525038783784096,0.15526355280450593,0.15615326956732845
fg2,10.296443827556823,0.15176328544421,0.15233385933874014,0.15394752228215888,0.15517108154596537,0.15662500680953456,0.15927206530990431,0.16020815123440021
fg2,10.798273953133053,0.15595821216698086,0.15654703066442055,0.15819105337009365,0.15942155572384015,0.16084336720461806,0.16346188005877715,0.16436009317227854
fg2,11.32456237510302,0.1603176088883321,0.1608302553670441,0.1625466537505794,0.1637931051546344,0.16519606648164847,0.16772477065010485,0.16863993746062061
fg2,11.876501146777198,0.1646795507909795,0.16524395788909454,0.1670061688732045,0.1682764144518116,0.1696821639356433,0.17213866288038693,0.173023863977381
fg2,12.455340419997187,0.16921740407520403,0.16983587437809872,0.17159718133056068,0.17288043402720363,0.17430777635944023,0.1766877337013413,0.1775322260709288
fg2,13.062391276753527,0.1738119507334532,0.1744834554103696,0.1763216723822402,0.17761310591410945,0.17903187227114245,0.1813690473036712,0.18221981066696047
fg2,13.699028698811361,0.17857650550362236,0.17928827089067068,0.18115125423720707,0.18246659988609815,0.18388749565682833,0.18619914325693052,0.18699128388373445
fg2,14.366694682070376,0.18344026845813835,0.18421379971610402,0.18610568608296368,0.18743337405943955,0.18886701706785763,0.191137199862505,0.19191033629078294
fg2,15.066901502712982,0.18846568294583804,0.1892373361188406,0.19120457861536733,0.19254536955009777,0.19398199384238402,0.19628854667349724,0.19698356055481764
fg2,15.80123514253873,0.19362450673449513,0.1943586405636701,0.19644709894497486,0.19782020677799056,0.19926285908581284,0.20155576612154136,0.20225966319407163
fg2,16.571358881243317,0.1989469562838797,0.19959095364837878,0.20178667813399262,0.2032090698842191,0.20469248836188492,0.20697087803382366,0.2076666633924552
fg2,17.379017063778786,0.20433498631750485,0.2049846772282937,0.20728395772828193,0.20876732470334283,0.21027191112724897,0.21255494927713267,0.21325317076252856
fg2,18.22603905132815,0.20982675519107943,0.21055620866420222,0.21290598636419442,0.2144631181043007,0.2160231491773122,0.2182991639400229,0.2190757760121466
fg2,19.11434336484331,0.21544586621328315,0.2162600998142856,0.2187058199669486,0.220308019195268,0.22193813200159354,0.22428436511142016,0.22503950751279547
fg2,20.045942030531624,0.22126955475700436,0.2221039472326031,0.224625889068848,0.22631298441724057,0.22801236859438495,0.23048053041383687,0.2311508215484516
fg2,21.02294513713358,0.22715851128002582,0.2281053813461285,0.2307070916763072,0.232465870465016,0.2342469555584449,0.23682815327922357,0.23749564199137793
fg2,22.047565615314078,0.23324614187370887,0.2341810121855002,0.23695989941760928,0.23879259901307834,0.24066067640203656,0.24335491036291215,0.24403341577515936
fg2,23.12212424999258,0.23939642121174126,0.24045489291241948,0.24336487984119093,0.2452856366941355,0.24721897059915177,0.25003280393884814,0.25081742269002505
