variable,fg,bin_midpoint,lived,died,mortality
dbh,all,1.168119492592429,29568,7626,0.2050330698499758
dbh,all,1.59390272602074,32927,5949,0.1530250025722811
dbh,all,2.174885288814169,29490,4276,0.12663626132796305
dbh,all,2.9676378252450175,22966,3048,0.1171676789421081
dbh,all,4.049351157562346,17929,2326,0.11483584300172797
dbh,all,5.525352405796927,11849,1227,0.09383603548485775
dbh,all,7.539360756903146,9095,640,0.0657421674370827
dbh,all,10.287481494048311,6642,432,0.061068702290076333
dbh,all,14.03730089364472,3805,296,0.07217751767861497
dbh,all,19.15394127247929,2590,192,0.06901509705248023
dbh,all,26.135613181568583,1937,115,0.05604288499025341
dbh,all,35.662126486627,1312,84,0.06017191977077364
dbh,all,48.66108389012568,884,65,0.0684931506849315
dbh,all,66.3982022005836,488,35,0.06692160611854685
dbh,all,90.60055598893476,210,9,0.0410958904109589
dbh,all,123.62474394573245,63,4,0.05970149253731343
dbh,all,168.68635240510488,26,2,0.07142857142857142
dbh,all,230.1730590457701,7,0,0
dbh,all,314.07186387702205,4,0,0
dbh,all,428.55204726445334,5,0,0
dbh,fg1,1.168119492592429,634,909,0.5891121192482177
dbh,fg1,1.59390272602074,795,776,0.4939528962444303
dbh,fg1,2.174885288814169,856,646,0.43009320905459386
dbh,fg1,2.9676378252450175,757,548,0.4199233716475096
dbh,fg1,4.049351157562346,827,468,0.3613899613899614
dbh,fg1,5.525352405796927,754,260,0.2564102564102564
dbh,fg1,7.539360756903146,780,137,0.14940021810250817
dbh,fg1,10.287481494048311,677,108,0.1375796178343949
dbh,fg1,14.03730089364472,525,90,0.14634146341463414
dbh,fg1,19.15394127247929,425,55,0.11458333333333333
dbh,fg1,26.135613181568583,369,49,0.11722488038277512
dbh,fg1,35.662126486627,242,32,0.11678832116788321
dbh,fg1,48.66108389012568,146,25,0.14619883040935672
dbh,fg1,66.3982022005836,56,12,0.17647058823529413
dbh,fg1,90.60055598893476,16,0,0
dbh,fg1,123.62474394573245,3,1,0.25
dbh,fg1,168.68635240510488,1,0,0
dbh,fg1,230.1730590457701,1,0,0
dbh,fg2,1.168119492592429,1134,355,0.2384150436534587
dbh,fg2,1.59390272602074,1403,262,0.15735735735735737
dbh,fg2,2.174885288814169,1539,193,0.11143187066974596
dbh,fg2,2.9676378252450175,1337,110,0.07601935038009675
dbh,fg2,4.049351157562346,1303,88,0.06326383896477354
dbh,fg2,5.525352405796927,1042,53,0.048401826484018265
dbh,fg2,7.539360756903146,996,43,0.04138594802694899
dbh,fg2,10.287481494048311,864,27,0.030303030303030304
dbh,fg2,14.03730089364472,764,23,0.029224904701397714
dbh,fg2,19.15394127247929,748,33,0.04225352112676056
dbh,fg2,26.135613181568583,593,20,0.03262642740619902
dbh,fg2,35.662126486627,439,15,0.03303964757709251
dbh,fg2,48.66108389012568,391,13,0.03217821782178218
dbh,fg2,66.3982022005836,306,15,0.04672897196261682
dbh,fg2,90.60055598893476,168,7,0.04
dbh,fg2,123.62474394573245,54,3,0.05263157894736842
dbh,fg2,168.68635240510488,23,1,0.041666666666666664
dbh,fg2,230.1730590457701,6,0,0
dbh,fg2,314.07186387702205,3,0,0
dbh,fg2,428.55204726445334,4,0,0
dbh,fg3,1.168119492592429,21476,3658,0.14553990610328638
dbh,fg3,1.59390272602074,24019,3018,0.11162481044494582
dbh,fg3,2.174885288814169,21737,2278,0.09485738080366438
dbh,fg3,2.9676378252450175,17269,1770,0.09296706759808814
dbh,fg3,4.049351157562346,13093,1326,0.0919619945904709
dbh,fg3,5.525352405796927,8024,684,0.07854846118511713
dbh,fg3,7.539360756903146,5522,302,0.05185439560439561
dbh,fg3,10.287481494048311,3295,185,0.05316091954022988
dbh,fg3,14.03730089364472,1709,98,0.054233536247924735
dbh,fg3,19.15394127247929,1047,53,0.04818181818181818
dbh,fg3,26.135613181568583,817,28,0.033136094674556214
dbh,fg3,35.662126486627,548,24,0.04195804195804196
dbh,fg3,48.66108389012568,273,22,0.07457627118644068
dbh,fg3,66.3982022005836,88,4,0.043478260869565216
dbh,fg3,90.60055598893476,16,0,0
dbh,fg3,123.62474394573245,3,0,0
dbh,fg3,314.07186387702205,1,0,0
dbh,fg4,1.168119492592429,4373,2044,0.31852890758921615
dbh,fg4,1.59390272602074,4218,1314,0.23752711496746204
dbh,fg4,2.174885288814169,2879,711,0.198050139275766
dbh,fg4,2.9676378252450175,1451,312,0.17697107203630175
dbh,fg4,4.049351157562346,756,152,0.16740088105726872
dbh,fg4,5.525352405796927,344,45,0.11568123393316196
dbh,fg4,7.539360756903146,200,35,0.14893617021276595
dbh,fg4,10.287481494048311,117,20,0.145985401459854
dbh,fg4,14.03730089364472,66,7,0.0958904109589041
dbh,fg4,19.15394127247929,25,4,0.13793103448275862
dbh,fg4,26.135613181568583,5,0,0
dbh,fg4,35.662126486627,1,1,0.5
dbh,fg5,1.168119492592429,1951,658,0.25220390954388655
dbh,fg5,1.59390272602074,2491,578,0.18833496252851092
dbh,fg5,2.174885288814169,2477,445,0.15229295003422313
dbh,fg5,2.9676378252450175,2124,291,0.12049689440993788
dbh,fg5,4.049351157562346,1846,249,0.11885441527446301
dbh,fg5,5.525352405796927,1447,143,0.08993710691823899
dbh,fg5,7.539360756903146,1194,94,0.07298136645962733
dbh,fg5,10.287481494048311,872,73,0.07724867724867725
dbh,fg5,14.03730089364472,559,66,0.1056
dbh,fg5,19.15394127247929,336,46,0.12041884816753927
dbh,fg5,26.135613181568583,152,18,0.10588235294117647
dbh,fg5,35.662126486627,64,10,0.13513513513513514
dbh,fg5,48.66108389012568,67,5,0.06944444444444445
dbh,fg5,66.3982022005836,36,4,0.1
dbh,fg5,90.60055598893476,10,2,0.16666666666666666
dbh,fg5,123.62474394573245,3,0,0
dbh,fg5,168.68635240510488,0,1,1
dbh,unclassified,1.168119492592429,0,2,1
dbh,unclassified,1.59390272602074,1,1,0.5
dbh,unclassified,2.174885288814169,2,3,0.6
dbh,unclassified,2.9676378252450175,28,17,0.37777777777777777
dbh,unclassified,4.049351157562346,104,43,0.2925170068027211
dbh,unclassified,5.525352405796927,238,42,0.15
dbh,unclassified,7.539360756903146,403,29,0.06712962962962964
dbh,unclassified,10.287481494048311,817,19,0.022727272727272728
dbh,unclassified,14.03730089364472,182,12,0.061855670103092786
dbh,unclassified,19.15394127247929,9,1,0.1
dbh,unclassified,26.135613181568583,1,0,0
dbh,unclassified,35.662126486627,18,2,0.1
dbh,unclassified,48.66108389012568,7,0,0
dbh,unclassified,66.3982022005836,2,0,0
dbh,unclassified,168.68635240510488,2,0,0
dbh,unclassified,428.55204726445334,1,0,0
light_per_area,all,1.212862857151958,18,2,0.1
light_per_area,all,1.6354113929433816,122,20,0.14084507042253522
light_per_area,all,2.2051713500811063,644,150,0.1889168765743073
light_per_area,all,2.973429624008301,2273,466,0.1701350857977364
light_per_area,all,4.00934091974529,5436,1052,0.1621454993834772
light_per_area,all,5.4061527069453605,9612,1806,0.1581713084603258
light_per_area,all,7.289598883167409,14192,2724,0.16103097659021046
light_per_area,all,9.829217700271036,18663,3344,0.15195165174717135
light_per_area,all,13.25361273614302,20464,3455,0.1444458380367072
light_per_area,all,17.87103062686348,20413,3242,0.13705347706615936
light_per_area,all,24.097107862171843,19494,2904,0.1296544334315564
light_per_area,all,32.49228426973248,16139,2309,0.1251626192541197
light_per_area,all,43.812250959893895,12617,1606,0.11291569992266048
light_per_area,all,59.07597379851829,9567,1117,0.10454885810557843
light_per_area,all,79.65741553516538,7355,734,0.09074051180615651
light_per_area,all,107.4092129464171,4978,505,0.09210286339595113
light_per_area,all,144.82944178217548,3523,328,0.08517268242015061
light_per_area,all,195.28648084778848,2665,245,0.08419243986254296
light_per_area,all,263.3222163437714,2114,165,0.07240017551557701
light_per_area,all,355.06087937669565,1508,152,0.09156626506024096
light_per_area,fg1,1.6354113929433816,1,1,0.5
light_per_area,fg1,2.2051713500811063,4,7,0.6363636363636364
light_per_area,fg1,2.973429624008301,29,31,0.5166666666666667
light_per_area,fg1,4.00934091974529,87,64,0.423841059602649
light_per_area,fg1,5.4061527069453605,159,159,0.5
light_per_area,fg1,7.289598883167409,267,282,0.5136612021857924
light_per_area,fg1,9.829217700271036,416,426,0.50593824228028506
light_per_area,fg1,13.25361273614302,528,469,0.4704112337011033
light_per_area,fg1,17.87103062686348,698,534,0.43344155844155846
light_per_area,fg1,24.097107862171843,836,549,0.39638989169675093
light_per_area,fg1,32.49228426973248,771,468,0.37772397094430993
light_per_area,fg1,43.812250959893895,770,329,0.29936305732484075
light_per_area,fg1,59.07597379851829,635,240,0.2742857142857143
light_per_area,fg1,79.65741553516538,655,156,0.19235511713933415
light_per_area,fg1,107.4092129464171,524,127,0.19508448540706605
light_per_area,fg1,144.82944178217548,425,86,0.16829745596868884
light_per_area,fg1,195.28648084778848,436,81,0.15667311411992263
light_per_area,fg1,263.3222163437714,386,62,0.13839285714285715
light_per_area,fg1,355.06087937669565,237,45,0.1595744680851064
light_per_area,fg2,1.212862857151958,2,0,0
light_per_area,fg2,1.6354113929433816,7,1,0.125
light_per_area,fg2,2.2051713500811063,25,6,0.1935483870967742
light_per_area,fg2,2.973429624008301,121,18,0.12949640287769784
light_per_area,fg2,4.00934091974529,245,43,0.14930555555555555
light_per_area,fg2,5.4061527069453605,421,94,0.1825242718446602
light_per_area,fg2,7.289598883167409,654,116,0.15064935064935064
light_per_area,fg2,9.829217700271036,850,161,0.15924826904055392
light_per_area,fg2,13.25361273614302,1063,160,0.13082583810302534
light_per_area,fg2,17.87103062686348,1171,146,0.1108580106302202
light_per_area,fg2,24.097107862171843,1223,125,0.09272997032640949
light_per_area,fg2,32.49228426973248,1129,94,0.07686017988552739
light_per_area,fg2,43.812250959893895,943,59,0.05888223552894212
light_per_area,fg2,59.07597379851829,925,55,0.05612244897959184
light_per_area,fg2,79.65741553516538,871,37,0.040748898678414094
light_per_area,fg2,107.4092129464171,688,24,0.033707865168539325
light_per_area,fg2,144.82944178217548,659,26,0.03795620437956204
light_per_area,fg2,195.28648084778848,641,18,0.027314112291350532
light_per_area,fg2,263.3222163437714,728,31,0.04084321475625823
light_per_area,fg2,355.06087937669565,751,47,0.05889724310776942
light_per_area,fg3,1.212862857151958,12,2,0.14285714285714285
light_per_area,fg3,1.6354113929433816,87,12,0.12121212121212122
light_per_area,fg3,2.2051713500811063,485,71,0.12769784172661872
light_per_area,fg3,2.973429624008301,1676,244,0.12708333333333333
light_per_area,fg3,4.00934091974529,4059,559,0.12104807275877003
light_per_area,fg3,5.4061527069453605,7082,895,0.11219756800802307
light_per_area,fg3,7.289598883167409,10422,1420,0.11991217699712886
light_per_area,fg3,9.829217700271036,13662,1670,0.10892251500130447
light_per_area,fg3,13.25361273614302,14968,1777,0.10612123021797551
light_per_area,fg3,17.87103062686348,14855,1666,0.10084135342896919
light_per_area,fg3,24.097107862171843,14046,1511,0.0971266953782863
light_per_area,fg3,32.49228426973248,11359,1232,0.09784766896989913
light_per_area,fg3,43.812250959893895,8654,863,0.0906798360827992
light_per_area,fg3,59.07597379851829,6229,591,0.08665689149560117
light_per_area,fg3,79.65741553516538,4406,386,0.08055091819699499
light_per_area,fg3,107.4092129464171,2776,236,0.07835325365205843
light_per_area,fg3,144.82944178217548,1803,143,0.07348406988694758
light_per_area,fg3,195.28648084778848,1190,89,0.06958561376075059
light_per_area,fg3,263.3222163437714,760,40,0.05
light_per_area,fg3,355.06087937669565,406,43,0.0957683741648107
light_per_area,fg4,1.212862857151958,2,0,0
light_per_area,fg4,1.6354113929433816,18,4,0.18181818181818182
light_per_area,fg4,2.2051713500811063,89,49,0.35507246376811596
light_per_area,fg4,2.973429624008301,295,125,0.2976190476190476
light_per_area,fg4,4.00934091974529,687,262,0.2760800842992624
light_per_area,fg4,5.4061527069453605,1276,466,0.2675086107921929
light_per_area,fg4,7.289598883167409,1756,643,0.2680283451438099
light_per_area,fg4,9.829217700271036,2202,742,0.25203804347826086
light_per_area,fg4,13.25361273614302,2187,708,0.24455958549222798
light_per_area,fg4,17.87103062686348,1855,592,0.24192889252145483
light_per_area,fg4,24.097107862171843,1477,426,0.22385706778770362
light_per_area,fg4,32.49228426973248,1085,263,0.19510385756676557
light_per_area,fg4,43.812250959893895,638,176,0.21621621621621623
light_per_area,fg4,59.07597379851829,416,100,0.1937984496124031
light_per_area,fg4,79.65741553516538,218,40,0.15503875968992248
light_per_area,fg4,107.4092129464171,120,27,0.1836734693877551
light_per_area,fg4,144.82944178217548,72,15,0.1724137931034483
light_per_area,fg4,195.28648084778848,33,4,0.10810810810810811
light_per_area,fg4,263.3222163437714,8,3,0.2727272727272727
light_per_area,fg4,355.06087937669565,1,0,0
light_per_area,fg5,1.212862857151958,2,0,0
light_per_area,fg5,1.6354113929433816,9,2,0.18181818181818182
light_per_area,fg5,2.2051713500811063,41,17,0.29310344827586204
light_per_area,fg5,2.973429624008301,152,48,0.24
light_per_area,fg5,4.00934091974529,358,124,0.2572614107883817
light_per_area,fg5,5.4061527069453605,671,192,0.22247972190034762
light_per_area,fg5,7.289598883167409,1090,258,0.1913946587537092
light_per_area,fg5,9.829217700271036,1520,340,0.1827956989247312
light_per_area,fg5,13.25361273614302,1683,325,0.16185258964143426
light_per_area,fg5,17.87103062686348,1755,294,0.14348462664714495
light_per_area,fg5,24.097107862171843,1772,271,0.13264806656877143
light_per_area,fg5,32.49228426973248,1584,223,0.12340896513558385
light_per_area,fg5,43.812250959893895,1315,161,0.10907859078590786
light_per_area,fg5,59.07597379851829,1060,106,0.09090909090909091
light_per_area,fg5,79.65741553516538,893,99,0.09979838709677419
light_per_area,fg5,107.4092129464171,652,76,0.1043956043956044
light_per_area,fg5,144.82944178217548,459,52,0.10176125244618395
light_per_area,fg5,195.28648084778848,310,52,0.143646408839779
light_per_area,fg5,263.3222163437714,202,27,0.11790393013100436
light_per_area,fg5,355.06087937669565,101,16,0.13675213675213677
light_per_area,unclassified,5.4061527069453605,3,0,0
light_per_area,unclassified,7.289598883167409,3,5,0.625
light_per_area,unclassified,9.829217700271036,13,5,0.2777777777777778
light_per_area,unclassified,13.25361273614302,35,16,0.3137254901960784
light_per_area,unclassified,17.87103062686348,79,10,0.11235955056179775
light_per_area,unclassified,24.097107862171843,140,22,0.13580246913580246
light_per_area,unclassified,32.49228426973248,211,29,0.12083333333333333
light_per_area,unclassified,43.812250959893895,297,18,0.05714285714285714
light_per_area,unclassified,59.07597379851829,302,25,0.0764525993883792
light_per_area,unclassified,79.65741553516538,312,16,0.04878048780487805
light_per_area,unclassified,107.4092129464171,218,15,0.06437768240343347
light_per_area,unclassified,144.82944178217548,105,6,0.05405405405405406
light_per_area,unclassified,195.28648084778848,55,1,0.017857142857142856
light_per_area,unclassified,263.3222163437714,30,2,0.0625
light_per_area,unclassified,355.06087937669565,12,1,0.07692307692307693
light_per_volume,all,0.6886512845094968,13,1,0.07142857142857142
light_per_volume,all,0.9112896455616635,107,13,0.10833333333333334
light_per_volume,all,1.205906148420827,487,88,0.15304347826086956
light_per_volume,all,1.595771054660527,1632,323,0.16521739130434782
light_per_volume,all,2.1116778135902825,4221,789,0.15748502994011976
light_per_volume,all,2.794375280455285,8066,1428,0.150410785759427
light_per_volume,all,3.697786261599943,13189,2367,0.1521599382874775
light_per_volume,all,4.893266603134799,17810,3152,0.15036733136151131
light_per_volume,all,6.475241226894049,21413,3467,0.13934887459807074
light_per_volume,all,8.56866227554561,22189,3481,0.13560576548500194
light_per_volume,all,11.338878447865396,21308,3180,0.129859523031689
light_per_volume,all,15.00469505285522,18617,2639,0.12415318027850959
light_per_volume,all,19.85565633006341,14420,1966,0.11998047113389479
light_per_volume,all,26.27491507883502,10885,1358,0.11092052601486564
light_per_volume,all,34.769495952380204,7862,928,0.1055745164960182
light_per_volume,all,46.0103427605896,5092,593,0.10430958663148637
light_per_volume,all,60.88531291469642,2895,348,0.10730804810360776
light_per_volume,all,80.56930477587674,1264,159,0.11173576950105411
light_per_volume,all,106.61705691096536,303,43,0.12427745664739884
light_per_volume,all,141.08594899728448,24,3,0.1111111111111111
light_per_volume,fg1,1.205906148420827,12,6,0.3333333333333333
light_per_volume,fg1,1.595771054660527,21,18,0.46153846153846156
light_per_volume,fg1,2.1116778135902825,49,46,0.4842105263157895
light_per_volume,fg1,2.794375280455285,127,105,0.4525862068965517
light_per_volume,fg1,3.697786261599943,247,220,0.47109207708779444
light_per_volume,fg1,4.893266603134799,288,316,0.5231788079470199
light_per_volume,fg1,6.475241226894049,531,438,0.4520123839009288
light_per_volume,fg1,8.56866227554561,642,494,0.43485915492957744
light_per_volume,fg1,11.338878447865396,826,577,0.4112615823235923
light_per_volume,fg1,15.00469505285522,977,527,0.3503989361702128
light_per_volume,fg1,19.85565633006341,873,445,0.33763277693474963
light_per_volume,fg1,26.27491507883502,847,305,0.2647569444444444
light_per_volume,fg1,34.769495952380204,822,247,0.23105706267539758
light_per_volume,fg1,46.0103427605896,645,162,0.20074349442379183
light_per_volume,fg1,60.88531291469642,502,114,0.18506493506493507
light_per_volume,fg1,80.56930477587674,327,68,0.17215189873417722
light_per_volume,fg1,106.61705691096536,118,26,0.18055555555555555
light_per_volume,fg1,141.08594899728448,10,2,0.16666666666666666
light_per_volume,fg2,0.6886512845094968,2,0,0
light_per_volume,fg2,0.9112896455616635,6,1,0.14285714285714285
light_per_volume,fg2,1.205906148420827,36,3,0.07692307692307693
light_per_volume,fg2,1.595771054660527,87,18,0.17142857142857143
light_per_volume,fg2,2.1116778135902825,218,34,0.1349206349206349
light_per_volume,fg2,2.794375280455285,389,74,0.15982721382289417
light_per_volume,fg2,3.697786261599943,650,116,0.1514360313315927
light_per_volume,fg2,4.893266603134799,910,138,0.1316793893129771
light_per_volume,fg2,6.475241226894049,1137,165,0.12672811059907835
light_per_volume,fg2,8.56866227554561,1354,163,0.1074489123269611
light_per_volume,fg2,11.338878447865396,1345,137,0.09244264507422402
light_per_volume,fg2,15.00469505285522,1373,116,0.07790463398253862
light_per_volume,fg2,19.85565633006341,1239,75,0.05707762557077625
light_per_volume,fg2,26.27491507883502,1181,72,0.05746209098164405
light_per_volume,fg2,34.769495952380204,1122,58,0.04915254237288136
light_per_volume,fg2,46.0103427605896,948,37,0.03756345177664975
light_per_volume,fg2,60.88531291469642,680,28,0.03954802259887006
light_per_volume,fg2,80.56930477587674,342,22,0.06043956043956044
light_per_volume,fg2,106.61705691096536,90,3,0.03225806451612903
light_per_volume,fg2,141.08594899728448,8,1,0.1111111111111111
light_per_volume,fg3,0.6886512845094968,10,1,0.09090909090909091
light_per_volume,fg3,0.9112896455616635,78,10,0.11363636363636363
light_per_volume,fg3,1.205906148420827,365,48,0.1162227602905569
light_per_volume,fg3,1.595771054660527,1215,165,0.11956521739130435
light_per_volume,fg3,2.1116778135902825,3218,455,0.12387693983120066
light_per_volume,fg3,2.794375280455285,6104,770,0.1120162932790224
light_per_volume,fg3,3.697786261599943,9848,1240,0.11183261183261184
light_per_volume,fg3,4.893266603134799,13204,1704,0.11430104641803059
light_per_volume,fg3,6.475241226894049,15764,1795,0.10222677829033544
light_per_volume,fg3,8.56866227554561,16038,1794,0.10060565275908478
light_per_volume,fg3,11.338878447865396,15307,1613,0.09533096926713948
light_per_volume,fg3,15.00469505285522,12843,1345,0.09479842120101495
light_per_volume,fg3,19.85565633006341,9585,992,0.09378840881157229
light_per_volume,fg3,26.27491507883502,6783,674,0.09038487327343436
light_per_volume,fg3,34.769495952380204,4346,406,0.08543771043771044
light_per_volume,fg3,46.0103427605896,2582,256,0.09020436927413672
light_per_volume,fg3,60.88531291469642,1196,136,0.1021021021021021
light_per_volume,fg3,80.56930477587674,390,38,0.08878504672897196
light_per_volume,fg3,106.61705691096536,56,8,0.125
light_per_volume,fg3,141.08594899728448,5,0,0
light_per_volume,fg4,0.6886512845094968,1,0,0
light_per_volume,fg4,0.9112896455616635,8,0,0
light_per_volume,fg4,1.205906148420827,49,21,0.3
light_per_volume,fg4,1.595771054660527,187,86,0.315018315018315
light_per_volume,fg4,2.1116778135902825,462,167,0.2655007949125596
light_per_volume,fg4,2.794375280455285,912,336,0.2692307692307692
light_per_volume,fg4,3.697786261599943,1489,546,0.2683046683046683
light_per_volume,fg4,4.893266603134799,1996,688,0.2563338301043219
light_per_volume,fg4,6.475241226894049,2267,715,0.2397719651240778
light_per_volume,fg4,8.56866227554561,2112,687,0.2454448017148982
light_per_volume,fg4,11.338878447865396,1760,547,0.23710446467273516
light_per_volume,fg4,15.00469505285522,1311,345,0.20833333333333334
light_per_volume,fg4,19.85565633006341,881,254,0.22378854625550662
light_per_volume,fg4,26.27491507883502,528,130,0.19756838905775076
light_per_volume,fg4,34.769495952380204,279,72,0.20512820512820512
light_per_volume,fg4,46.0103427605896,126,27,0.17647058823529413
light_per_volume,fg4,60.88531291469642,57,19,0.25
light_per_volume,fg4,80.56930477587674,8,3,0.2727272727272727
light_per_volume,fg4,106.61705691096536,2,2,0.5
light_per_volume,fg5,0.9112896455616635,15,2,0.11764705882352941
light_per_volume,fg5,1.205906148420827,25,10,0.2857142857142857
light_per_volume,fg5,1.595771054660527,122,36,0.22784810126582278
light_per_volume,fg5,2.1116778135902825,274,87,0.2409972299168975
light_per_volume,fg5,2.794375280455285,530,143,0.212481426448737
light_per_volume,fg5,3.697786261599943,950,240,0.20168067226890757
light_per_volume,fg5,4.893266603134799,1387,300,0.17783046828689983
light_per_volume,fg5,6.475241226894049,1656,338,0.16950852557673018
light_per_volume,fg5,8.56866227554561,1921,325,0.14470169189670526
light_per_volume,fg5,11.338878447865396,1885,288,0.1325356649792913
light_per_volume,fg5,15.00469505285522,1826,276,0.1313035204567079
light_per_volume,fg5,19.85565633006341,1540,182,0.10569105691056911
light_per_volume,fg5,26.27491507883502,1232,154,0.1111111111111111
light_per_volume,fg5,34.769495952380204,1029,127,0.10986159169550173
light_per_volume,fg5,46.0103427605896,650,97,0.12985274431057564
light_per_volume,fg5,60.88531291469642,389,48,0.10983981693363844
light_per_volume,fg5,80.56930477587674,162,26,0.13829787234042554
light_per_volume,fg5,106.61705691096536,35,4,0.10256410256410256
light_per_volume,fg5,141.08594899728448,1,0,0
light_per_volume,unclassified,2.794375280455285,4,0,0
light_per_volume,unclassified,3.697786261599943,5,5,0.5
light_per_volume,unclassified,4.893266603134799,25,6,0.1935483870967742
light_per_volume,unclassified,6.475241226894049,58,16,0.21621621621621623
light_per_volume,unclassified,8.56866227554561,122,18,0.12857142857142856
light_per_volume,unclassified,11.338878447865396,185,18,0.08866995073891626
light_per_volume,unclassified,15.00469505285522,287,30,0.0946372239747634
light_per_volume,unclassified,19.85565633006341,302,18,0.05625
light_per_volume,unclassified,26.27491507883502,314,23,0.06824925816023739
light_per_volume,unclassified,34.769495952380204,264,18,0.06382978723404255
light_per_volume,unclassified,46.0103427605896,141,14,0.09032258064516129
light_per_volume,unclassified,60.88531291469642,71,3,0.04054054054054054
light_per_volume,unclassified,80.56930477587674,35,2,0.05405405405405406
light_per_volume,unclassified,106.61705691096536,2,0,0
