ratio_name,bin,bin_midpoint,bin_min,bin_max,richness_ratio,lowest_n,lowest_rich
fast:tall,1,1.1667354135923118,1,1.3334708271846236,1,861,36
fast:tall,2,1.555807637068534,1.3334708271846236,1.7781444469524443,1.1515151515151516,762,33
fast:tall,3,2.0746240967419327,1.7781444469524443,2.371103746531421,1,892,38
fast:tall,4,2.766450710379617,2.371103746531421,3.161797674227814,0.9761904761904762,822,41
fast:tall,5,3.6889813171353985,3.161797674227814,4.216164960042983,1.0238095238095237,909,42
fast:tall,6,4.9191489684291625,4.216164960042983,5.622132976815341,1,804,42
fast:tall,7,6.5595416439756224,5.622132976815341,7.496950311135904,0.9183673469387755,652,45
fast:tall,8,8.74695742194416,7.496950311135904,9.996964532752415,0.875,701,42
fast:tall,9,11.66381254878856,9.996964532752415,13.330660564824704,0.8260869565217391,640,38
fast:tall,10,15.553353767559475,13.330660564824704,17.776046970294246,0.8260869565217391,482,38
fast:tall,11,20.73994351392262,17.776046970294246,23.703840057550995,0.8536585365853658,424,35
fast:tall,12,27.656109633272763,23.703840057550995,31.60837920899453,0.7272727272727273,335,32
fast:tall,13,36.87861538938886,31.60837920899453,42.14885156978319,0.6222222222222222,270,28
fast:tall,14,49.17655776871196,42.14885156978319,56.20426396764072,0.6176470588235294,146,21
fast:tall,15,65.57550516593678,56.20426396764072,74.94674636423284,0.42424242424242425,66,14
fast:tall,16,87.44302311667127,74.94674636423284,99.93929986910972,0.28,15,7
fast:tall,17,116.60272036691177,99.93929986910972,133.26614086471383,0.2,5,3
fast:tall,18,155.48632597964314,133.26614086471383,177.70651109457248,0.2,1,1
fast:tall,19,207.33647971997289,177.70651109457248,236.96644834537327,0,0,0
fast:tall,20,276.47714711774023,236.96644834537327,315.98784589010717,0,0,0
fast:slow,1,1.1667354135923118,1,1.3334708271846236,0.6206896551724138,972,36
fast:slow,2,1.555807637068534,1.3334708271846236,1.7781444469524443,0.6440677966101694,762,38
fast:slow,3,2.0746240967419327,1.7781444469524443,2.371103746531421,0.6440677966101694,892,38
fast:slow,4,2.766450710379617,2.371103746531421,3.161797674227814,0.6949152542372882,822,41
fast:slow,5,3.6889813171353985,3.161797674227814,4.216164960042983,0.7166666666666667,909,43
fast:slow,6,4.9191489684291625,4.216164960042983,5.622132976815341,0.7241379310344828,804,42
fast:slow,7,6.5595416439756224,5.622132976815341,7.496950311135904,0.7258064516129032,652,45
fast:slow,8,8.74695742194416,7.496950311135904,9.996964532752415,0.7777777777777778,701,42
fast:slow,9,11.66381254878856,9.996964532752415,13.330660564824704,0.8444444444444444,640,38
fast:slow,10,15.553353767559475,13.330660564824704,17.776046970294246,1.027027027027027,482,37
fast:slow,11,20.73994351392262,17.776046970294246,23.703840057550995,1.09375,424,32
fast:slow,12,27.656109633272763,23.703840057550995,31.60837920899453,1.3333333333333333,335,24
fast:slow,13,36.87861538938886,31.60837920899453,42.14885156978319,1.2727272727272727,270,22
fast:slow,14,49.17655776871196,42.14885156978319,56.20426396764072,1.6153846153846154,146,13
fast:slow,15,65.57550516593678,56.20426396764072,74.94674636423284,1.2727272727272727,66,11
fast:slow,16,87.44302311667127,74.94674636423284,99.93929986910972,1,15,7
fast:slow,17,116.60272036691177,99.93929986910972,133.26614086471383,1,3,3
fast:slow,18,155.48632597964314,133.26614086471383,177.70651109457248,1,1,1
fast:slow,19,207.33647971997289,177.70651109457248,236.96644834537327,NA,0,0
fast:slow,20,276.47714711774023,236.96644834537327,315.98784589010717,NA,0,0
fast:short,1,1.1667354135923118,1,1.3334708271846236,1.0588235294117647,972,34
fast:short,2,1.555807637068534,1.3334708271846236,1.7781444469524443,1.2666666666666666,762,30
fast:short,3,2.0746240967419327,1.7781444469524443,2.371103746531421,1.2666666666666666,892,30
fast:short,4,2.766450710379617,2.371103746531421,3.161797674227814,1.5185185185185186,822,27
fast:short,5,3.6889813171353985,3.161797674227814,4.216164960042983,1.8695652173913044,740,23
fast:short,6,4.9191489684291625,4.216164960042983,5.622132976815341,2.8,401,15
fast:short,7,6.5595416439756224,5.622132976815341,7.496950311135904,3.75,173,12
fast:short,8,8.74695742194416,7.496950311135904,9.996964532752415,4.2,128,10
fast:short,9,11.66381254878856,9.996964532752415,13.330660564824704,4.75,90,8
fast:short,10,15.553353767559475,13.330660564824704,17.776046970294246,5.428571428571429,52,7
fast:short,11,20.73994351392262,17.776046970294246,23.703840057550995,5.833333333333333,14,6
fast:short,12,27.656109633272763,23.703840057550995,31.60837920899453,32,1,1
fast:short,13,36.87861538938886,31.60837920899453,42.14885156978319,NA,0,0
fast:short,14,49.17655776871196,42.14885156978319,56.20426396764072,NA,0,0
fast:short,15,65.57550516593678,56.20426396764072,74.94674636423284,NA,0,0
fast:short,16,87.44302311667127,74.94674636423284,99.93929986910972,NA,0,0
fast:short,17,116.60272036691177,99.93929986910972,133.26614086471383,NA,0,0
fast:short,18,155.48632597964314,133.26614086471383,177.70651109457248,NA,0,0
fast:short,19,207.33647971997289,177.70651109457248,236.96644834537327,NA,0,0
fast:short,20,276.47714711774023,236.96644834537327,315.98784589010717,NA,0,0
tall:slow,1,1.1667354135923118,1,1.3334708271846236,0.6206896551724138,861,36
tall:slow,2,1.555807637068534,1.3334708271846236,1.7781444469524443,0.559322033898305,854,33
tall:slow,3,2.0746240967419327,1.7781444469524443,2.371103746531421,0.6440677966101694,1059,38
tall:slow,4,2.766450710379617,2.371103746531421,3.161797674227814,0.711864406779661,1058,42
tall:slow,5,3.6889813171353985,3.161797674227814,4.216164960042983,0.7,1061,42
tall:slow,6,4.9191489684291625,4.216164960042983,5.622132976815341,0.7241379310344828,915,42
tall:slow,7,6.5595416439756224,5.622132976815341,7.496950311135904,0.7903225806451613,812,49
tall:slow,8,8.74695742194416,7.496950311135904,9.996964532752415,0.8888888888888888,730,48
tall:slow,9,11.66381254878856,9.996964532752415,13.330660564824704,1.0222222222222221,753,45
tall:slow,10,15.553353767559475,13.330660564824704,17.776046970294246,1.2432432432432432,661,37
tall:slow,11,20.73994351392262,17.776046970294246,23.703840057550995,1.28125,602,32
tall:slow,12,27.656109633272763,23.703840057550995,31.60837920899453,1.8333333333333333,504,24
tall:slow,13,36.87861538938886,31.60837920899453,42.14885156978319,2.0454545454545454,361,22
tall:slow,14,49.17655776871196,42.14885156978319,56.20426396764072,2.6153846153846154,229,13
tall:slow,15,65.57550516593678,56.20426396764072,74.94674636423284,3,77,11
tall:slow,16,87.44302311667127,74.94674636423284,99.93929986910972,3.5714285714285716,18,7
tall:slow,17,116.60272036691177,99.93929986910972,133.26614086471383,5,3,3
tall:slow,18,155.48632597964314,133.26614086471383,177.70651109457248,5,1,1
tall:slow,19,207.33647971997289,177.70651109457248,236.96644834537327,NA,0,0
tall:slow,20,276.47714711774023,236.96644834537327,315.98784589010717,NA,0,0
tall:short,1,1.1667354135923118,1,1.3334708271846236,1.0588235294117647,861,34
tall:short,2,1.555807637068534,1.3334708271846236,1.7781444469524443,1.1,854,30
tall:short,3,2.0746240967419327,1.7781444469524443,2.371103746531421,1.2666666666666666,1059,30
tall:short,4,2.766450710379617,2.371103746531421,3.161797674227814,1.5555555555555556,1058,27
tall:short,5,3.6889813171353985,3.161797674227814,4.216164960042983,1.826086956521739,740,23
tall:short,6,4.9191489684291625,4.216164960042983,5.622132976815341,2.8,401,15
tall:short,7,6.5595416439756224,5.622132976815341,7.496950311135904,4.083333333333333,173,12
tall:short,8,8.74695742194416,7.496950311135904,9.996964532752415,4.8,128,10
tall:short,9,11.66381254878856,9.996964532752415,13.330660564824704,5.75,90,8
tall:short,10,15.553353767559475,13.330660564824704,17.776046970294246,6.571428571428571,52,7
tall:short,11,20.73994351392262,17.776046970294246,23.703840057550995,6.833333333333333,14,6
tall:short,12,27.656109633272763,23.703840057550995,31.60837920899453,44,1,1
tall:short,13,36.87861538938886,31.60837920899453,42.14885156978319,NA,0,0
tall:short,14,49.17655776871196,42.14885156978319,56.20426396764072,NA,0,0
tall:short,15,65.57550516593678,56.20426396764072,74.94674636423284,NA,0,0
tall:short,16,87.44302311667127,74.94674636423284,99.93929986910972,NA,0,0
tall:short,17,116.60272036691177,99.93929986910972,133.26614086471383,NA,0,0
tall:short,18,155.48632597964314,133.26614086471383,177.70651109457248,NA,0,0
tall:short,19,207.33647971997289,177.70651109457248,236.96644834537327,NA,0,0
tall:short,20,276.47714711774023,236.96644834537327,315.98784589010717,NA,0,0
slow:short,1,1.1667354135923118,1,1.3334708271846236,1.7058823529411764,3023,34
slow:short,2,1.555807637068534,1.3334708271846236,1.7781444469524443,1.9666666666666666,2323,30
slow:short,3,2.0746240967419327,1.7781444469524443,2.371103746531421,1.9666666666666666,2136,30
slow:short,4,2.766450710379617,2.371103746531421,3.161797674227814,2.185185185185185,1377,27
slow:short,5,3.6889813171353985,3.161797674227814,4.216164960042983,2.608695652173913,740,23
slow:short,6,4.9191489684291625,4.216164960042983,5.622132976815341,3.8666666666666667,401,15
slow:short,7,6.5595416439756224,5.622132976815341,7.496950311135904,5.166666666666667,173,12
slow:short,8,8.74695742194416,7.496950311135904,9.996964532752415,5.4,128,10
slow:short,9,11.66381254878856,9.996964532752415,13.330660564824704,5.625,90,8
slow:short,10,15.553353767559475,13.330660564824704,17.776046970294246,5.285714285714286,52,7
slow:short,11,20.73994351392262,17.776046970294246,23.703840057550995,5.333333333333333,14,6
slow:short,12,27.656109633272763,23.703840057550995,31.60837920899453,24,1,1
slow:short,13,36.87861538938886,31.60837920899453,42.14885156978319,NA,0,0
slow:short,14,49.17655776871196,42.14885156978319,56.20426396764072,NA,0,0
slow:short,15,65.57550516593678,56.20426396764072,74.94674636423284,NA,0,0
slow:short,16,87.44302311667127,74.94674636423284,99.93929986910972,NA,0,0
slow:short,17,116.60272036691177,99.93929986910972,133.26614086471383,NA,0,0
slow:short,18,155.48632597964314,133.26614086471383,177.70651109457248,NA,0,0
slow:short,19,207.33647971997289,177.70651109457248,236.96644834537327,NA,0,0
slow:short,20,276.47714711774023,236.96644834537327,315.98784589010717,NA,0,0
