"fg","dbh_bin","q025","q25","q50","q75","q975"
"all",1.15546278812523,1.70729320092603,4.26096764499735,6.67602218712671,10.7960118248485,25.7936349141506
"all",1.51472572135904,3.14761107236524,7.47819797280844,11.5561092733841,17.9938780760765,42.1705587744887
"all",1.985692689134,5.50120204691294,13.7847335000898,22.3694469091102,36.3342578359858,93.6580053372892
"all",2.60309533275933,12.1685924862849,28.7764902892075,45.6626626497469,72.7293734205826,170.343516923606
"all",3.41246424913243,21.6699355747986,49.0311063474639,76.1659669847314,118.59614745512,267.684763812876
"all",4.47348666222804,36.0249301052738,80.3892330266632,126.963867635276,198.589435416992,469.045841435967
"all",5.86440808053007,61.9285155353066,159.968432061193,258.045837563515,416.959559031659,1000.86830308661
"all",7.68780254233678,140.421185115141,346.356963051577,550.150256226476,840.672818034234,1825.15096231974
"all",10.0781369779126,246.875223491196,561.581005525704,888.203674958252,1347.81518855278,2860.2273496419
"all",13.2116875253013,396.149322458291,896.411001566658,1443.61139705093,2213.42477382618,4559.05855073603
"all",17.3195390823467,837.684332943179,2047.47375497926,3202.90644031897,4947.91550175668,10214.8483207805
"all",22.7046267519177,2099.22575356414,4442.53139441363,6608.1591763549,9462.42819288143,15683.9385349744
"all",29.7640759083095,3253.37151745712,6930.05934402936,10123.9525627531,14393.0262957451,23038.3642451777
"all",39.0184883616633,5793.06447354444,12047.4155272467,17376.3540082819,22997.7211615325,38873.7811380527
"all",51.1503343399355,12624.0696384885,24013.0742152059,33038.877235497,41689.1367002396,64883.0864797224
"all",67.054281519984,23354.2734388762,38613.4049465818,48690.2847557721,59223.8593483031,81155.447109073
"all",87.9031726416461,35124.9497352388,52305.5681672069,63632.468914509,76726.3674243717,117631.747029871
"all",115.234517249494,62094.4621635893,106725.825375958,119696.957645908,152175.227360436,268982.256650161
"all",151.063875929237,98960.9456429261,151979.881651156,197184.718042723,211776.099354994,251316.420377343
"all",198.033498603164,177238.740624608,285865.20819247,309841.146694563,373076.891958263,525458.311793839
"all",NA,490833.331660817,490833.331660817,490833.331660817,490833.331660817,490833.331660817
"fg1",1.15546278812523,2.22607195494219,5.39772574918109,8.07594443257201,12.3837346751878,32.4371250701348
"fg1",1.51472572135904,3.56965884438218,8.31188499366326,12.4778273931791,18.7720951581338,45.5453851453455
"fg1",1.985692689134,5.46840900766658,13.2096131802399,20.9978925192585,32.1984891814397,76.9071394420105
"fg1",2.60309533275933,9.24529074184455,22.3309524191393,36.5404727851163,53.7799503549768,124.674537388581
"fg1",3.41246424913243,14.9630231693034,40.3748136768579,66.1535545267538,101.873991440744,208.527453472063
"fg1",4.47348666222804,32.307240821828,66.5422261462735,109.202647537928,169.086012904243,398.668508748032
"fg1",5.86440808053007,48.6975956003425,120.07727964623,196.588511769736,332.204683090361,895.011900381767
"fg1",7.68780254233678,105.728472364402,243.832792323518,386.480363901353,651.66755741003,1554.04788999079
"fg1",10.0781369779126,173.944656805158,439.772541219079,743.365791334831,1179.1356061899,2650.97874819434
"fg1",13.2116875253013,296.057785901331,754.001389714632,1292.0680133837,2128.98155250093,4460.65512018963
"fg1",17.3195390823467,682.866795419738,1719.49749569292,2705.4316426998,4255.57413867336,8648.27412646103
"fg1",22.7046267519177,1955.23488264298,3876.33235172488,5834.83174655882,8683.70372280871,14864.0415709612
"fg1",29.7640759083095,3153.90727576762,7271.38180150067,10659.4260117313,14526.8829575942,24520.0507668869
"fg1",39.0184883616633,4647.33359047859,14712.4649959633,18433.9107939339,23902.9667852631,38436.5258205245
"fg1",51.1503343399355,10079.8485839898,28869.191945682,36094.8909397847,44289.5909000621,69085.7148695293
"fg1",67.054281519984,25958.216832668,37023.5554726482,51050.7755725886,63919.0020555946,83597.7476908173
"fg1",87.9031726416461,40185.2045067874,46654.0801282474,66810.4656071893,88357.2509584812,126199.671251413
"fg1",115.234517249494,136167.357729689,136167.357729689,136167.357729689,136167.357729689,136167.357729689
"fg2",1.15546278812523,1.95427877391836,4.39201816410501,6.63853194757418,10.6905595013459,24.4681482022293
"fg2",1.51472572135904,3.5613015901551,7.72719676880481,11.8490961002564,18.4370413141533,43.5589241423939
"fg2",1.985692689134,6.87236500627612,15.2777057596542,23.3264737870046,37.4549982089446,94.9640489015166
"fg2",2.60309533275933,14.552180390156,31.1527875432014,48.2117037891294,72.7711251152291,149.422269593669
"fg2",3.41246424913243,25.074372853194,50.8841549068159,76.0046729129957,116.033288453772,248.130088575626
"fg2",4.47348666222804,43.7972609479006,90.6353557829614,133.467887521154,198.665651563756,488.67790574786
"fg2",5.86440808053007,82.8569419420864,170.607903020151,272.642207120124,405.383157916665,915.343936624607
"fg2",7.68780254233678,183.958246457326,379.253307067866,598.273767409357,902.319895659264,1924.45043909137
"fg2",10.0781369779126,280.668244077109,612.752436494101,957.168888073397,1441.03217739881,2985.09763298467
"fg2",13.2116875253013,456.123175128717,961.49779097593,1492.8026602769,2187.72301329492,4565.48499296791
"fg2",17.3195390823467,880.735970912161,2102.57576649122,3206.33950012093,5220.48284411922,10352.0736856744
"fg2",22.7046267519177,2102.29866549967,4560.1493555518,6949.31606440254,9911.83797956706,15809.7605148825
"fg2",29.7640759083095,3320.28928742511,7225.13413300942,10565.9696433941,14935.7131949859,23240.8114422135
"fg2",39.0184883616633,6349.87805466881,12387.7628266934,17910.020965583,23294.5103509546,37393.5019451381
"fg2",51.1503343399355,12609.1289681697,22137.2155189262,31722.1708521607,40435.1753761094,58379.5252309496
"fg2",67.054281519984,23088.428898362,37572.2816479065,46328.2046243363,56569.1227028991,78726.895298858
"fg2",87.9031726416461,34445.6537292209,52219.2220025589,61561.6960808182,73358.0596008304,109632.363045769
"fg2",115.234517249494,61244.4773538806,103671.383136531,113103.169130321,140388.207790733,211795.985122137
"fg2",151.063875929237,98960.9456429261,151979.881651156,197184.718042723,211776.099354994,251316.420377343
"fg2",198.033498603164,176019.53413538,273673.143300189,341459.019326413,415405.064134812,529691.129011494
"fg2",NA,490833.331660817,490833.331660817,490833.331660817,490833.331660817,490833.331660817
"fg3",1.15546278812523,1.72918339014413,4.20974815474387,6.55463996554259,10.5357550885912,24.8651027663941
"fg3",1.51472572135904,3.17434590314384,7.43040289290453,11.3814489363847,17.6673642370927,41.1791852345195
"fg3",1.985692689134,5.74619735767309,13.7797612597342,22.2327935403541,36.0571985149084,91.8706769371489
"fg3",2.60309533275933,12.4688796576247,28.8717009103551,45.5496231433567,72.9238614825432,172.778329323175
"fg3",3.41246424913243,22.7108906373455,49.7725593689135,77.4417343863797,119.843171328312,271.483276229477
"fg3",4.47348666222804,37.5364877022963,80.9113035905606,128.260516992202,202.377875746476,468.904301552111
"fg3",5.86440808053007,71.8750580929956,166.816552549743,265.018554714768,428.433512805902,1004.83247602609
"fg3",7.68780254233678,173.911611514903,371.024575979437,568.163557430043,848.72393916608,1804.79628557733
"fg3",10.0781369779126,281.582801157277,588.112093347185,893.955032963386,1335.1187112498,2800.63083470056
"fg3",13.2116875253013,459.044396877937,922.069807576782,1456.87235113953,2214.19689101835,4515.431051347
"fg3",17.3195390823467,954.769465791507,2100.45770245843,3287.54801365484,5171.53428324951,10182.9823644523
"fg3",22.7046267519177,2356.92805906299,4561.70244203393,6566.57598551726,9260.93603679195,15285.1482286182
"fg3",29.7640759083095,3251.98602179997,6730.63178835161,9597.95524454279,13900.6657620055,21431.4897095124
"fg3",39.0184883616633,5761.45495028004,10932.3737214292,15538.2529025509,21162.1091503513,38623.0442250354
"fg3",51.1503343399355,15289.049500377,27974.3469531486,35654.9994945776,41618.5436153758,65147.9688958272
"fg3",67.054281519984,24078.3069351089,39190.5948465553,51995.2640186477,63936.2283058179,88354.6117376195
"fg3",87.9031726416461,52202.3509127515,68073.5391328602,73709.8486408333,75645.4763012863,131408.154259337
"fg3",115.234517249494,117665.490626177,124805.128650598,132738.059788843,140670.990927088,147810.628951509
"fg4",1.15546278812523,1.46022441893526,4.34450720757373,7.10475804172631,12.0023331149392,30.1609062935477
"fg4",1.51472572135904,2.87802109238801,7.99317180169432,13.2728910319618,21.4611518549889,51.6092265485032
"fg4",1.985692689134,4.51323228124724,14.1504754085678,24.6463795662089,41.5738637248034,114.287607984058
"fg4",2.60309533275933,11.8667353765041,31.7411534374151,51.2973816116792,80.0918344111537,180.919150075216
"fg4",3.41246424913243,20.5715076923663,50.3272116362923,77.1867979582965,131.932605936485,308.758838019234
"fg4",4.47348666222804,30.7722543745759,68.2533953109287,117.459338064827,184.521688326079,468.469862060901
"fg4",5.86440808053007,45.0477032827273,134.715408983919,220.621533251485,350.37430512259,738.116653024769
"fg4",7.68780254233678,117.303122059543,256.256824629649,535.839228433375,756.157358699645,1660.87595554074
"fg4",10.0781369779126,230.26209907898,538.934067761329,1036.73246273516,1672.91345653591,3215.50703455833
"fg4",13.2116875253013,326.619056349444,746.364889649033,1255.56198056479,2245.16519679179,3866.75235599468
"fg4",17.3195390823467,918.258509980958,1748.47180914595,2428.99344552942,3334.29333782078,7378.31662056895
"fg4",22.7046267519177,1818.18950068416,2532.23981139617,6193.80102870064,8676.27349364572,14925.603560086
"fg4",29.7640759083095,5070.39855703333,5070.39855703333,5070.39855703333,5070.39855703333,5070.39855703333
"fg5",1.15546278812523,1.65752829950704,3.85444760123911,6.07923048002863,9.82787610670447,24.8482270170407
"fg5",1.51472572135904,3.13068912433852,7.01673562899709,10.8379472290427,16.3923558669484,37.8473649085534
"fg5",1.985692689134,4.96518302069231,12.9265263813711,20.9659357992315,34.0217348871028,82.4591283378317
"fg5",2.60309533275933,11.083005136038,28.2231095149193,44.2828179050572,71.8433214499619,164.625629423141
"fg5",3.41246424913243,20.7689086070877,47.3029559239254,73.2476474777857,113.892449560539,269.861082572196
"fg5",4.47348666222804,36.9630445635608,83.319052210436,127.794660739401,199.753586888433,488.541538713842
"fg5",5.86440808053007,62.5130337403241,168.9044061904,272.981042881045,448.353878585524,1083.3653631177
"fg5",7.68780254233678,152.509690286067,375.976570223331,568.28895627059,920.504994409617,1864.31284249127
"fg5",10.0781369779126,222.832685393393,537.754798188683,893.636939187567,1406.50338190975,3321.32294365495
"fg5",13.2116875253013,350.972911922,874.462815538532,1485.34358887755,2289.74041795633,4777.17241838501
"fg5",17.3195390823467,882.554927604499,2211.75433806695,3339.28627962926,5084.69269630927,10599.1579024733
"fg5",22.7046267519177,2104.12554576953,4969.98111000805,7113.27789536234,10922.819342588,18641.0052921799
"fg5",29.7640759083095,3346.34308478717,6228.52291999553,8776.97006201821,13368.2721806295,27485.0332615187
"fg5",39.0184883616633,7694.22423367135,11469.3528640741,19811.6495023738,26813.5962505021,40078.7124387869
"fg5",51.1503343399355,12909.9743097644,20299.8575899176,29104.0989928976,36424.3477030353,48896.4811676848
"fg5",67.054281519984,34770.9626307596,45754.2840841038,50987.410349446,56758.0849380415,64509.2399324728
"fg5",87.9031726416461,51188.4349552625,77949.6571672793,88078.2188995848,88636.3337132407,89557.3492449036
"fg5",115.234517249494,154183.09679933,237694.30095207,268807.904813409,277583.214296228,300781.023626965
NA,1.15546278812523,2.13377564080747,3.88975383189296,5.93406351784639,9.53020833856314,20.9060925729777
NA,1.51472572135904,3.80811202795294,6.81999891543977,10.5780889665359,14.9563872044802,27.8158524676157
NA,1.985692689134,6.21655680218278,14.349338465823,22.8474903727668,34.9193619536836,77.1377404382809
NA,2.60309533275933,16.07795767666,32.8128240586434,51.0573890920924,77.8149145095712,187.21086148513
NA,3.41246424913243,16.459292045899,43.6646465091294,68.8224047548528,115.125685240554,220.494581452112
NA,4.47348666222804,19.6705809646916,80.5900216758371,129.984647724805,184.024017950449,528.365755987464
NA,5.86440808053007,19.7141787607372,65.4637578770583,183.216746928429,373.734560977381,905.161725979359
NA,7.68780254233678,30.6404199329676,78.0384080566425,226.83352735164,645.720618141274,1309.13486109067
NA,10.0781369779126,71.3063392881231,343.107859595788,833.9220434954,1225.85442418511,2367.95685533092
NA,13.2116875253013,556.441781626304,873.803139238228,1739.60459891036,2486.56636651546,4518.8506261009
NA,17.3195390823467,1239.27576235984,3797.07262319421,4173.61132741854,5085.54025772377,9612.56564726747
NA,22.7046267519177,9403.93349935364,9542.19463566303,9695.81812045123,11410.1833389834,12953.1120356624
NA,39.0184883616633,25927.4710026762,25927.4710026762,25927.4710026762,25927.4710026762,25927.4710026762
NA,51.1503343399355,23836.7850762119,32028.854192101,41131.1532097556,41189.8109180977,41242.6028556057
NA,67.054281519984,56746.4868028002,60049.2134253968,63718.9096727263,67388.6059200558,70691.3325426524
NA,198.033498603164,285865.20819247,285865.20819247,285865.20819247,285865.20819247,285865.20819247
