sp,genus,species,family,grform,repsize,sppnumber,abun,X1,X2,WSG_AVG,MAXHEIGHT_AVG,SEED__DRY_MIX,LogAvAbun,X1new,X2new,fg1,fis,sil,fg5,fg13,fg20,fgall,splower,PC_slow_to_fast,PC_breeder_to_pioneer
GUARSP,Guarea,fuzzy,Meliaceae,M,8,102,3046,-0.9816367677389,1.49120781367488,0.667748457,17.22667499,NA,7.06987412845857,0.9816367677389,-1.49120781367488,1,3,1,4,8,14,95,guarsp,-0.9816367677389,-1.49120781367488
GUATDU,Guatteria,dumetorum,Annonaceae,T,30,103,3502,0.643015055122414,-0.547587378982922,0.446201315,34.64006647,0.04003,7.11859487469733,-0.643015055122414,0.547587378982922,1,2,2,5,2,6,96,guatdu,0.643015055122414,0.547587378982922
GUAZUL,Guazuma,ulmifolia,Sterculiaceae,T,30,104,329,2.12054890126599,-2.05154917943504,0.494623918,23.05458889,0.001296667,4.05797691805123,-2.12054890126599,2.05154917943504,1,1,3,2,13,8,97,guazul,2.12054890126599,2.05154917943504
GUETFO,Guettarda,foliacea,Rubiaceae,U,10,105,1950,-1.04927539764698,-0.564045280342929,0.61838453,10.56,NA,5.79605775076537,1.04927539764698,0.564045280342929,1,3,2,3,4,20,98,guetfo,-1.04927539764698,0.564045280342929
GUSTSU,Gustavia,superba,Lecythidaceae,M,10,106,2959,-1.07628820425345,-2.00045926412648,0.612491625,20.57010375,5.661719114,6.66531968428731,1.07628820425345,2.00045926412648,1,3,3,2,11,16,99,gustsu,-1.07628820425345,2.00045926412648
HAMEAX,Hamelia,axillaris,Rubiaceae,S,1,107,617,1.20125897386555,3.09160090057119,0.45707116800000003,3.562,NA,4.66747406932424,-1.20125897386555,-3.09160090057119,1,2,1,4,7,1,100,hameax,1.20125897386555,-3.09160090057119
HAMEPA,Hamelia,patens,Rubiaceae,S,1,108,7,0.998635651266544,1.49416185888404,0.39643937,NA,5e-5,0,-0.998635651266544,-1.49416185888404,1,2,1,4,7,2,101,hamepa,0.998635651266544,-1.49416185888404
HAMPAP,Hampea,appendiculata,Malvaceae,M,8,109,355,4.71265154868107,0.249616568124329,0.287770868,18.11075048,0.06,4.35670882668959,-4.71265154868107,-0.249616568124329,1,1,2,1,6,5,102,hampap,4.71265154868107,-0.249616568124329
HASSFL,Hasseltia,floribunda,Flacourtiaceae,M,8,110,2625,1.22069112857738,-0.168864431216843,0.565203238,15.0101679,0.01123,6.5988982093939,-1.22069112857738,0.168864431216843,1,2,2,5,2,6,103,hassfl,1.22069112857738,0.168864431216843
HEISAC,Heisteria,acuminata,Olacaceae,U,5,111,651,-1.0920465266476,-0.824077247288906,0.682125856,11.486,0.036929444,4.66747406932424,1.0920465266476,0.824077247288906,1,3,2,3,4,20,104,heisac,-1.0920465266476,0.824077247288906
HEISCO,Heisteria,concinna,Olacaceae,M,15,112,2867,-1.09225393211921,-1.68918255903835,0.718525656,17.8583151,0.179125,6.84435896242334,1.09225393211921,1.68918255903835,1,3,3,2,11,16,105,heisco,-1.09225393211921,1.68918255903835
HERRPU,Herrania,purpurea,Sterculiaceae,U,1,113,1874,-2.44657182411142,0.330138549846859,0.307970769,8.386,0.184663,6.26936680988132,2.44657182411142,-0.330138549846859,1,3,2,3,9,15,106,herrpu,-2.44657182411142,-0.330138549846859
HIRTAM,Hirtella,americana,Chrysobalanaceae,T,30,114,242,-0.505439390102646,-0.109187884876295,0.755267136,10.58198005,0.22638,3.62624388312245,0.505439390102646,0.109187884876295,1,2,2,5,4,13,107,hirtam,-0.505439390102646,0.109187884876295
HIRTTR,Hirtella,triandra,Chrysobalanaceae,M,8,115,3789,-1.32746689908247,-0.474890278542713,0.606175461,22.71919755,0.188107333,8.44643345381781,1.32746689908247,0.474890278542713,1,3,2,3,4,20,108,hirttr,-1.32746689908247,0.474890278542713
HURACR,Hura,crepitans,Euphorbiaceae,T,30,116,684,0.342564003841001,-3.50252689497288,0.368555,35.03105308,0.845,4.71210089681543,-0.342564003841001,3.50252689497288,1,2,3,2,12,4,109,huracr,0.342564003841001,3.50252689497288
HYBAPR,Hybanthus,prunifolius,Violaceae,S,1,117,3000,-1.98694720017343,1.64746188503256,0.580445494,6.466,0.019299167,10.4713711089035,1.98694720017343,-1.64746188503256,1,3,1,3,9,18,110,hybapr,-1.98694720017343,-1.64746188503256
HYERAL,Hieronyma,alchorneoides,Euphorbiaceae,T,30,118,551,1.02177665649706,-1.52672869990672,0.584981498,34.25156435,9.6e-4,4.55987391107292,-1.02177665649706,1.52672869990672,1,2,3,2,12,17,111,hyeral,1.02177665649706,1.52672869990672
INGACO,Inga,cocleensis,Fabaceae:Mimos.,M,16,119,504,1.93697511621647,0.0579177621215813,0.666574415,14.03069976,0.168328125,4.38023932409979,-1.93697511621647,-0.0579177621215813,1,1,2,1,6,12,112,ingaco,1.93697511621647,-0.0579177621215813
INGAFA,Inga,laurina,Fabaceae:Mimos.,T,30,120,463,0.16838849047045,-0.660912312874175,0.675619396,14.73828016,0.230323,4.30791866252016,-0.16838849047045,0.660912312874175,1,2,2,5,5,13,113,ingafa,0.16838849047045,0.660912312874175
INGAGO,Inga,goldmanii,Fabaceae:Mimos.,T,30,121,1936,0.58696860114074,0.0946539017723606,0.557092339,22.77614473,0.499075,5.97888576490112,-0.58696860114074,-0.0946539017723606,1,2,2,5,2,11,114,ingago,0.58696860114074,-0.0946539017723606
INGAM1,Inga,mucuna,Fabaceae:Mimos.,T,30,122,8,0.225237856148282,0.694686935670041,0.582073728,NA,NA,0.13353139262452,-0.225237856148282,-0.694686935670041,1,2,2,5,3,11,115,ingam1,0.225237856148282,-0.694686935670041
INGAMA,Inga,marginata,Fabaceae:Mimos.,T,30,123,2682,2.50279446424061,0.0923861537065668,0.485748274,24.29833523,0.1287,6.46747687363534,-2.50279446424061,-0.0923861537065668,1,1,2,1,6,12,116,ingama,2.50279446424061,-0.0923861537065668
INGAMI,Inga,oerstediana,Fabaceae:Mimos.,T,30,124,43,1.04416453901239,-0.544090379862751,0.457979205,27.41224564,NA,1.90423745265474,-1.04416453901239,0.544090379862751,1,2,2,5,2,6,117,ingami,1.04416453901239,0.544090379862751
INGAPE,Inga,pezizifera,Fabaceae:Mimos.,T,30,125,973,1.3302828099271,0.0011333602537103,0.512244739,15.40397643,NA,5.07338650465973,-1.3302828099271,-0.0011333602537103,1,1,2,1,2,6,118,ingape,1.3302828099271,-0.0011333602537103
INGAPU,Inga,punctata,Fabaceae:Mimos.,T,30,126,133,2.64190924904066,-0.565019596873919,0.500448708,12.83819332,0.274375,3.30111392310517,-2.64190924904066,0.565019596873919,1,1,2,1,13,9,119,ingapu,2.64190924904066,0.565019596873919
INGAQU,Inga,nobilis,Fabaceae:Mimos.,M,8,127,2656,-0.63339014715975706,-0.534774634183437,0.644915862,15.15740883,0.17258,6.55128439585423,0.63339014715975706,0.534774634183437,1,2,2,5,4,13,120,ingaqu,-0.63339014715975706,0.534774634183437
INGARU,Inga,ruiziana,Fabaceae:Mimos.,T,30,128,127,1.71442560782648,-0.196713937539822,0.606474897,7.94,NA,2.95936462938312,-1.71442560782648,0.196713937539822,1,1,2,1,13,12,121,ingaru,1.71442560782648,0.196713937539822
INGAS1,Inga,acuminata,Fabaceae:Mimos.,U,8,129,1636,0.228160280012814,-0.496956619292113,0.321315789,13.29642159,0.38,5.88729379958574,-0.228160280012814,0.496956619292113,1,2,2,5,5,13,122,ingas1,0.228160280012814,0.496956619292113
INGASA,Inga,sapindoides,Fabaceae:Mimos.,M,16,130,1832,0.985757221457384,-0.640059999385109,0.61227693,20.65997991,0.406354,5.66988092298052,-0.985757221457384,0.640059999385109,1,2,2,1,2,6,123,ingasa,0.985757221457384,0.640059999385109
INGASP,Inga,spectabilis,Fabaceae:Mimos.,T,20,131,124,1.45551309560258,-1.46780884955011,0.500803577,18.54056238,NA,3.02390315052069,-1.45551309560258,1.46780884955011,1,1,3,2,12,8,124,ingasp,1.45551309560258,1.46780884955011
INGATH,Inga,thibaudiana,Fabaceae:Mimos.,M,10,132,658,0.748519941903117,-0.989241366477415,0.494264635,17.28189129,0.16863125,4.84531131367087,-0.748519941903117,0.989241366477415,1,2,3,2,5,17,125,ingath,0.748519941903117,0.989241366477415
INGAUM,Inga,umbellifera,Fabaceae:Mimos.,M,8,133,2680,-0.734255935097026,0.383533710675677,0.664721724,12.6675,0.282529167,6.80856615722885,0.734255935097026,-0.383533710675677,1,2,2,5,4,10,126,ingaum,-0.734255935097026,-0.383533710675677
JAC1CO,Jacaranda,copaia,Bignoniaceae,T,30,134,1784,2.82260961676018,-2.53490702477109,0.374366496,31.83784271,0.002070313,5.70900689879301,-2.82260961676018,2.53490702477109,1,1,3,2,13,8,127,jac1co,2.82260961676018,2.53490702477109
KOANWE,Koanophyllon,wetmorei,Asteraceae,S,3,135,51,1.27705757738052,1.34347512985667,NA,NA,NA,1.98591548366901,-1.27705757738052,-1.34347512985667,1,2,1,4,7,2,128,koanwe,1.27705757738052,-1.34347512985667
LACIAG,Lacistema,aggregatum,Flacourtiaceae,U,5,136,2787,-0.521961472778783,1.28028987494144,0.557674722,16.34627265,0.011052,7.31474303679446,0.521961472778783,-1.28028987494144,1,2,1,4,3,14,129,laciag,-0.521961472778783,-1.28028987494144
LACMPA,Lacmellea,panamensis,Apocynaceae,M,16,137,584,-0.435913566460148,-2.38408857495575,0.502221027,21.75402643,0.227050667,4.58496747867057,0.435913566460148,2.38408857495575,1,2,3,2,11,4,130,lacmpa,-0.435913566460148,2.38408857495575
LAETPR,Laetia,procera,Flacourtiaceae,T,20,138,155,1.37147428737747,-1.55591185208469,0.577446594,28.47408711,0.005,3.26357600378611,-1.37147428737747,1.55591185208469,1,1,3,2,12,8,131,laetpr,1.37147428737747,1.55591185208469
LAETTH,Laetia,thamnia,Flacourtiaceae,U,8,139,1972,0.133974991057524,1.19980338639388,0.726633857,14.45884879,0.00370375,6.17467856268496,-0.133974991057524,-1.19980338639388,1,2,1,4,3,14,132,laetth,0.133974991057524,-1.19980338639388
LAFOPU,Lafoensia,punicifolia,Lythraceae,T,30,140,42,0.99707860441232,-2.51230327647777,0.673760774,19.24448821,0.006166667,1.90423745265474,-0.99707860441232,2.51230327647777,1,2,3,2,12,4,133,lafopu,0.99707860441232,2.51230327647777
LEANDI,Leandra,dichotoma,Melastomataceae,S,1,141,3,2.06141245132396,3.41205914224599,NA,2.58,8e-6,-0.336472236621213,-2.06141245132396,-3.41205914224599,1,1,1,4,7,7,134,leandi,2.06141245132396,-3.41205914224599
LICAHY,Licania,hypoleuca,Chrysobalanaceae,M,8,142,768,-2.07785386545217,-0.005818766555489,0.835924446,17.81769376,0.0847,4.86643494512217,2.07785386545217,0.005818766555489,1,3,2,3,10,15,135,licahy,-2.07785386545217,0.005818766555489
LICAPL,Licania,platypus,Chrysobalanaceae,T,30,143,1522,-0.939527439176379,0.116031289887656,0.681527318,19.21150784,4.50296,5.63937092958381,0.939527439176379,-0.116031289887656,1,2,2,5,4,20,136,licapl,-0.939527439176379,-0.116031289887656
LINDLA,Lindackeria,laurina,Flacourtiaceae,M,10,144,508,0.0476778336924565,-1.3302007081672,0.693259135,17.33485373,0.037742191,4.38914410244275,-0.0476778336924565,1.3302007081672,1,2,3,2,5,17,137,lindla,0.0476778336924565,1.3302007081672
LONCLA,Lonchocarpus,heptaphyllus,Fabaceae:Papil.,T,30,145,3010,-0.258336399783752,0.0439029442004202,0.666150017,30.5586663,0.045275,6.66258520076771,0.258336399783752,-0.0439029442004202,1,2,2,5,1,10,138,loncla,-0.258336399783752,-0.0439029442004202
LOZAPI,Lozania,pittieri,Flacourtiaceae,U,10,146,48,1.80329916691667,0.345589795340113,0.420686341,NA,NA,1.94591014905531,-1.80329916691667,-0.345589795340113,1,1,2,1,6,12,139,lozapi,1.80329916691667,-0.345589795340113
LUEHSE,Luehea,seemannii,Tiliaceae,T,30,147,1217,1.57756382063544,-1.32459485506829,0.571630422,32.36566281,7.60556e-4,5.32091719846528,-1.57756382063544,1.32459485506829,1,1,3,2,13,8,140,luehse,1.57756382063544,1.32459485506829
MACLTI,Maclura,tinctoria,Moraceae,T,30,148,8,1.04234643395928,-1.35043658497441,0.689681551,25.12783066,NA,0.251314428280909,-1.04234643395928,1.35043658497441,1,2,3,2,12,17,141,maclti,1.04234643395928,1.35043658497441
MACRGL,Macrocnemum,roseum,Rubiaceae,M,8,149,609,-1.19897951619398,-1.16658730251666,0.514268281,18.93754213,NA,4.59943951127911,1.19897951619398,1.16658730251666,1,3,3,3,10,16,142,macrgl,-1.19897951619398,1.16658730251666
MALMSP,Mosannona,garwoodii,Annonaceae,M,4,150,1760,-3.07455250181199,-0.393403953265374,0.729503564,13.19833333,0.21642,5.98465570517865,3.07455250181199,0.393403953265374,1,3,2,3,10,15,143,malmsp,-3.07455250181199,0.393403953265374
MALPRO,Malpighia,romeroana,Malpighiaceae,S,1,151,297,-2.22976876118273,2.74172976205865,NA,3.816,NA,3.86822038276975,2.22976876118273,-2.74172976205865,1,3,1,4,8,19,144,malpro,-2.22976876118273,-2.74172976205865
MAQUCO,Maquira,guianensis,Moraceae,M,10,152,3077,-1.12563005204499,-0.1770062931406,0.643463725,15.29116474,0.203092,7.26612877955645,1.12563005204499,0.1770062931406,1,3,2,3,4,20,145,maquco,-1.12563005204499,0.1770062931406
MAR1LA,Marila,laxiflora,Clusiaceae,M,10,153,143,-1.30614427768043,-1.08565448751388,0.672906679,3.247142857,0.012173333,3.16003532484527,1.30614427768043,1.08565448751388,1,3,3,3,10,16,146,mar1la,-1.30614427768043,1.08565448751388
MARGNO,Margaritaria,nobilis,Euphorbiaceae,U,-9,154,22,1.09882542083662,-0.609236438173139,0.663259415,16.41536481,0.008,1.23214368129263,-1.09882542083662,0.609236438173139,1,2,2,1,2,6,147,margno,1.09882542083662,0.609236438173139
MAYTSC,Maytenus,schippii,Celastraceae,M,8,155,523,-1.10752827021605,-1.55320659286158,0.743754107,21.17276382,NA,4.44935144906014,1.10752827021605,1.55320659286158,1,3,3,2,11,16,148,maytsc,-1.10752827021605,1.55320659286158
MICOAF,Miconia,affinis,Melastomataceae,U,4,156,1719,1.34952660219332,1.08255391877158,0.570413915,8.6825,2e-4,5.98896141688986,-1.34952660219332,-1.08255391877158,1,1,2,1,6,2,149,micoaf,1.34952660219332,-1.08255391877158
MICOAR,Miconia,argentea,Melastomataceae,M,10,157,2542,3.43876886108734,1.08017437056017,0.696562594,20.22488455,8e-5,6.50940763864284,-3.43876886108734,-1.08017437056017,1,1,2,1,6,5,150,micoar,3.43876886108734,-1.08017437056017
MICODO,Miconia,dorsiloba,Melastomataceae,S,1,158,3,0.262098692158068,2.42441092894124,NA,NA,NA,-0.336472236621213,-0.262098692158068,-2.42441092894124,1,2,1,4,7,1,151,micodo,0.262098692158068,-2.42441092894124
MICOEL,Miconia,elata,Melastomataceae,U,10,159,145,0.709773249986147,0.696130579969544,0.69720642,6.1875,NA,3.10394585819422,-0.709773249986147,-0.696130579969544,1,2,2,5,2,11,152,micoel,0.709773249986147,-0.696130579969544
MICOHO,Miconia,hondurensis,Melastomataceae,U,10,160,256,0.657672109994495,-0.229094209365609,0.589611472,12.08722461,NA,3.84405002184194,-0.657672109994495,0.229094209365609,1,2,2,5,2,6,153,micoho,0.657672109994495,0.229094209365609
MICOIM,Miconia,impetiolaris,Melastomataceae,U,2,161,74,-0.894212311228993,1.49497945367782,0.578462557,5.346666667,NA,2.496741107435,0.894212311228993,-1.49497945367782,1,2,1,4,8,14,154,micoim,-0.894212311228993,-1.49497945367782
MICONE,Miconia,nervosa,Melastomataceae,S,1,162,1574,1.85027336805403,3.48581474714081,0.47632964,4.13,NA,5.73241620745157,-1.85027336805403,-3.48581474714081,1,1,1,4,7,7,155,micone,1.85027336805403,-3.48581474714081
MICOPR,Miconia,prasina,Melastomataceae,U,-9,163,8,0.279209211397043,0.795617918672982,0.504641355,15.25,NA,0.538996500732684,-0.279209211397043,-0.795617918672982,1,2,2,5,3,11,156,micopr,0.279209211397043,-0.795617918672982
MOURMY,Mouriri,myrtilloides,Melastomataceae,S,2,164,3000,-1.5017273604654,1.85046943937795,0.788029779,8.605,0.042875,8.85682370074571,1.5017273604654,-1.85046943937795,1,3,1,4,8,18,157,mourmy,-1.5017273604654,-1.85046943937795
MYRCGA,Myrcia,gatunensis,Myrtaceae,U,5,165,291,0.413057081490562,0.676051004180708,0.658500333,11.43,0.062646667,3.90629233071916,-0.413057081490562,-0.676051004180708,1,2,2,5,3,11,158,myrcga,0.413057081490562,-0.676051004180708
MYROFR,Myrospermum,frutescens,Fabaceae:Papil.,T,30,166,109,-1.72036188461444,-0.143913948357715,0.874846019,26.26804794,NA,2.89037175789616,1.72036188461444,0.143913948357715,1,3,2,3,10,20,159,myrofr,-1.72036188461444,0.143913948357715
NECTCI,Nectandra,cissiflora,Lauraceae,T,30,167,1567,0.579561274167469,-1.45130785364672,0.421057446,19.46407216,NA,5.56013202946281,-0.579561274167469,1.45130785364672,1,2,3,2,12,17,160,nectci,0.579561274167469,1.45130785364672
NECTGL,Nectandra,lineata,Lauraceae,M,16,168,660,1.4685532289138,-0.0878429029299829,0.360426536,13.27985915,NA,4.82717022660022,-1.4685532289138,0.0878429029299829,1,1,2,1,2,6,161,nectgl,1.4685532289138,0.0878429029299829
NECTPU,Nectandra,purpurea,Lauraceae,M,8,169,480,0.498641729924265,-0.78499151323745,0.51347036,11.80349027,0.20493,4.378448813326,-0.498641729924265,0.78499151323745,1,2,2,5,5,17,162,nectpu,0.498641729924265,0.78499151323745
NECTS1,Nectandra,fuzzy,Lauraceae,T,30,170,32,1.06594748179683,-0.255134830142684,NA,15.25574694,NA,1.55059741241117,-1.06594748179683,0.255134830142684,1,2,2,5,2,6,163,nects1,1.06594748179683,0.255134830142684
NEEAAM,Neea,amplifolia,Nyctaginaceae,S,1,171,397,-1.9168805484073,3.20496656219078,NA,3.325,0.0297725,4.18531634042783,1.9168805484073,-3.20496656219078,1,3,1,4,8,19,164,neeaam,-1.9168805484073,-3.20496656219078
OCHRPY,Ochroma,pyramidale,Bombacaceae,M,16,172,43,3.98701922355545,-0.787099838500915,0.191380633,23.91441533,0.01,2.04307389750896,-3.98701922355545,0.787099838500915,1,1,2,1,13,9,165,ochrpy,3.98701922355545,0.787099838500915
OCOTCE,Ocotea,cernua,Lauraceae,M,4,173,1675,-0.44565554492552,-0.473420426595643,0.610495929,14.396,0.04176,5.69900919590355,0.44565554492552,0.473420426595643,1,2,2,5,5,13,166,ocotce,-0.44565554492552,0.473420426595643
OCOTOB,Ocotea,oblonga,Lauraceae,T,30,174,1074,3.16956048491511,-0.552284375711495,0.391162516,21.79333387,NA,5.23492104998924,-3.16956048491511,0.552284375711495,1,1,2,1,13,9,167,ocotob,3.16956048491511,0.552284375711495
OCOTPU,Ocotea,puberula,Lauraceae,T,30,175,1175,1.35938491711928,-0.712976008846425,0.389102896,26.84213171,0.05464,5.25302109163286,-1.35938491711928,0.712976008846425,1,1,2,1,13,6,168,ocotpu,1.35938491711928,0.712976008846425
OCOTWH,Ocotea,whitei,Lauraceae,T,30,176,3216,2.13803093547933,-1.49304238329434,0.426338778,32.26857949,7.3,6.47938702765639,-2.13803093547933,1.49304238329434,1,1,3,1,13,8,169,ocotwh,2.13803093547933,1.49304238329434
OLMEAS,Trophis,caucana,Moraceae,U,4,177,1630,1.16156110309677,-0.37329954025056,0.475464913,12.01,0.02537,5.53056223210859,-1.16156110309677,0.37329954025056,1,2,2,5,2,6,170,olmeas,1.16156110309677,0.37329954025056
ORMOAM,Ormosia,amazonica,Fabaceae:Papil.,T,30,178,9,-1.0238072890739,-0.470514080991746,0.64945081,11.38,0.29088,0.356674943938733,1.0238072890739,0.470514080991746,1,3,2,3,4,20,171,ormoam,-1.0238072890739,0.470514080991746
ORMOCR,Ormosia,coccinea,Fabaceae:Papil.,T,30,179,452,-2.07352331325518,-1.87058202839067,0.622173181,18.02869572,0.433871,4.38559170083838,2.07352331325518,1.87058202839067,1,3,3,3,10,16,172,ormocr,-2.07352331325518,1.87058202839067
ORMOMA,Ormosia,macrocalyx,Fabaceae:Papil.,T,30,180,588,-2.67403846416998,-1.45828135191217,0.649869585,16.9690782,0.261205,4.59656181145149,2.67403846416998,1.45828135191217,1,3,3,3,10,15,173,ormoma,-2.67403846416998,1.45828135191217
OURALU,Ouratea,lucens,Ochnaceae,S,3,181,2404,-3.57277445308223,1.35464965219637,0.802322762,11.572,0.097,7.09636653787362,3.57277445308223,-1.35464965219637,1,3,1,3,9,3,174,ouralu,-3.57277445308223,-1.35464965219637
PALIGU,Palicourea,guianensis,Rubiaceae,S,1,182,2424,4.5851606513449,2.60998329281474,0.319528354,6.175,0.007086667,6.81783057145415,-4.5851606513449,-2.60998329281474,1,1,1,1,6,5,175,paligu,4.5851606513449,-2.60998329281474
PENTMA,Pentagonia,macrophylla,Rubiaceae,U,2,183,1662,-1.81709943938279,1.49202689996289,0.454377134,6.145,0.00447875,5.99751761882106,1.81709943938279,-1.49202689996289,1,3,1,3,9,18,176,pentma,-1.81709943938279,-1.49202689996289
PEREXA,Perebea,xanthochyma,Moraceae,M,8,184,1488,-0.315297797634393,-0.639535491948003,0.622942733,14.10690165,0.091271875,5.52942908751142,0.315297797634393,0.639535491948003,1,2,2,5,5,13,177,perexa,-0.315297797634393,0.639535491948003
PHOECI,Cinnamomum,triplinerve,Lauraceae,T,30,185,453,1.09463180367254,-1.05266762877668,0.523751809,18.83409249,0.0484375,4.32696685749085,-1.09463180367254,1.05266762877668,1,2,3,2,13,17,178,phoeci,1.09463180367254,1.05266762877668
PICRLA,Picramnia,latifolia,Picramniaceae,U,4,186,2879,-0.776088179539722,1.02589467791529,0.698526003,12.475,0.025705,7.02031836517047,0.776088179539722,-1.02589467791529,1,2,2,4,3,14,179,picrla,-0.776088179539722,-1.02589467791529
PIPEA1,Piper,arboreum,Piperaceae,U,3,187,328,0.805569904249527,0.885159599243577,0.358594647,3.316666667,NA,3.92055790787798,-0.805569904249527,-0.885159599243577,1,2,2,4,3,11,180,pipea1,0.805569904249527,-0.885159599243577
PIPEAE,Piper,aequale,Piperaceae,S,1,188,568,0.55532216289098,2.23468054755223,0.436323164,4.04,6e-5,4.44096917030733,-0.55532216289098,-2.23468054755223,1,2,1,4,7,1,181,pipeae,0.55532216289098,-2.23468054755223
PIPECA,Piper,schiedeanum,Piperaceae,S,1,189,36,1.3615041413184,2.11913717319577,0.491548596,2.78,NA,1.71765149707433,-1.3615041413184,-2.11913717319577,1,1,1,4,7,2,182,pipeca,1.3615041413184,-2.11913717319577
PIPECO,Piper,cordulatum,Piperaceae,S,1,190,2136,-1.80044757926328,4.22778174024998,0.373149562,3.4675,0.00185,7.18256919644055,1.80044757926328,-4.22778174024998,1,3,1,4,8,19,183,pipeco,-1.80044757926328,-4.22778174024998
PIPECU,Piper,colonense,Piperaceae,S,2,191,304,1.27387925162398,0.725985147424801,0.342316821,5.17,NA,3.80029304148484,-1.27387925162398,-0.725985147424801,1,2,2,1,2,11,184,pipecu,1.27387925162398,-0.725985147424801
PIPEPE,Piper,perlasense,Piperaceae,S,1,192,377,-2.27053816945501,3.76382156266159,0.487719821,3.0275,4e-5,4.01509519056796,2.27053816945501,-3.76382156266159,1,3,1,4,8,19,185,pipepe,-2.27053816945501,-3.76382156266159
PIPERE,Piper,reticulatum,Piperaceae,U,4,193,887,0.20583738775344,0.201582583229745,0.292785407,10.3616862,NA,4.98458461689631,-0.20583738775344,-0.201582583229745,1,2,2,5,1,11,186,pipere,0.20583738775344,-0.201582583229745
PIT1MA,Abarema,macradenia,Fabaceae:Mimos.,T,30,194,14,0.871602550518938,-1.03797206637124,0.438332,32.15111597,0.09,1.55059741241117,-0.871602550518938,1.03797206637124,1,2,3,2,5,17,187,pit1ma,0.871602550518938,1.03797206637124
PIT1RU,Cojoba,rufescens,Fabaceae:Mimos.,M,8,195,12,0.0855748020969953,-1.19942895981093,0.676833515,13.12,0.221473333,0.693147180559945,-0.0855748020969953,1.19942895981093,1,2,3,2,5,17,188,pit1ru,0.0855748020969953,1.19942895981093
