sp,genus,species,family,grform,repsize,sppnumber,abun,X1,X2,WSG_AVG,MAXHEIGHT_AVG,SEED__DRY_MIX,LogAvAbun,X1new,X2new,fg1,fis,sil,fg5,fg13,fg20,fgall,splower,PC_slow_to_fast,PC_breeder_to_pioneer
PLA1PI,Platymiscium,pinnatum,Fabaceae:Papil.,T,30,196,988,0.361842133432431,-0.130413084456327,0.760593927,29.73761162,0.143391667,5.10334469220053,-0.361842133432431,0.130413084456327,1,2,2,5,1,11,189,pla1pi,0.361842133432431,0.130413084456327
PLA2EL,Platypodium,elegans,Fabaceae:Papil.,T,30,197,882,1.00182550006677,-0.842434211076721,0.702509127,35.11700795,0.334896,4.95280438527468,-1.00182550006677,0.842434211076721,1,2,2,2,2,6,190,pla2el,1.00182550006677,0.842434211076721
POCHQU,Pachira,quinata,Bombacaceae,T,30,198,7,0.856673669555963,-1.42823900185623,0.388336249,22.82423163,0.04,0.13353139262452,-0.856673669555963,1.42823900185623,1,2,3,2,12,17,191,pochqu,0.856673669555963,1.42823900185623
POCHSE,Pachira,sessilis,Bombacaceae,T,30,199,120,-0.887615239095242,-2.08165671618421,0.475417008,23.53977141,0.22195,2.98134353610189,0.887615239095242,2.08165671618421,1,2,3,2,11,16,192,pochse,-0.887615239095242,2.08165671618421
POSOLA,Posoqueria,latifolia,Rubiaceae,M,8,200,455,-1.99668132642364,-0.802663046476539,0.640987889,12.01248606,0.1693975,4.32318613465095,1.99668132642364,0.802663046476539,1,3,2,3,10,15,193,posola,-1.99668132642364,0.802663046476539
POULAR,Poulsenia,armata,Moraceae,T,30,201,3686,1.75945909064207,-1.08074175733026,0.315328296,36.18446652,0.030283333,7.5684530549607,-1.75945909064207,1.08074175733026,1,1,3,1,13,8,194,poular,1.75945909064207,1.08074175733026
POURBI,Pourouma,bicolor,Cecropiaceae,T,20,202,337,1.51004275867192,-0.806355561216108,0.357420061,21.22725261,0.105018,4.20041910861358,-1.51004275867192,0.806355561216108,1,1,2,1,13,6,195,pourbi,1.51004275867192,0.806355561216108
POUTFO,Pouteria,fossicola,Sapotaceae,T,30,203,18,-0.153221392665392,-2.20985129312435,NA,16.11290839,NA,1.09861228866811,0.153221392665392,2.20985129312435,1,2,3,2,11,4,196,poutfo,-0.153221392665392,2.20985129312435
POUTRE,Pouteria,reticulata,Sapotaceae,T,30,204,3512,-0.931641990431404,-0.377778315054294,0.760806421,31.97719858,0.179133,7.30873414847739,0.931641990431404,0.377778315054294,1,2,2,3,4,20,197,poutre,-0.931641990431404,0.377778315054294
POUTST,Pouteria,stipitata,Sapotaceae,M,16,205,404,-1.15493344547286,-1.55589886345474,NA,22.38877206,0.777520833,4.19397440317094,1.15493344547286,1.55589886345474,1,3,3,2,11,16,198,poutst,-1.15493344547286,1.55589886345474
PRI2CO,Prioria,copaifera,Fabaceae:Caesal.,T,60,206,3652,-1.45650868818593,-2.56225084988645,0.391034007,35.49403005,22.869184,7.2307700214282304,1.45650868818593,2.56225084988645,1,3,3,2,11,16,199,pri2co,-1.45650868818593,2.56225084988645
PROTCO,Protium,costaricense,Burseraceae,M,16,207,2802,0.378687605717585,0.438398214187891,0.452363394,16.37287098,NA,6.68995457207842,-0.378687605717585,-0.438398214187891,1,2,2,5,3,11,200,protco,0.378687605717585,-0.438398214187891
PROTPA,Protium,panamense,Burseraceae,M,8,208,3039,-0.845997298780694,0.547795551911727,0.446987105,19.20479772,0.079495,7.98021913396164,0.845997298780694,-0.547795551911727,1,2,2,3,4,10,201,protpa,-0.845997298780694,-0.547795551911727
PROTSP,Protium,confusum,Burseraceae,M,20,209,22,-0.0789859879395138,0.855788157608196,NA,5.952,NA,1.55059741241117,0.0789859879395138,-0.855788157608196,1,2,2,5,3,10,202,protsp,-0.0789859879395138,-0.855788157608196
PROTTE,Protium,tenuifolium,Burseraceae,M,20,210,3705,-0.898597346853402,-0.655696606949191,0.586264214,20.48232035,0.098637333,7.9563766829043,0.898597346853402,0.655696606949191,1,2,2,3,4,20,203,protte,-0.898597346853402,0.655696606949191
PSE1SE,Pseudobombax,septenatum,Bombacaceae,T,40,211,126,1.87648556424398,-1.35784379756587,0.295551095,34.57298298,0.031995,3.17805383034795,-1.87648556424398,1.35784379756587,1,1,3,1,13,8,204,pse1se,1.87648556424398,1.35784379756587
PSIDFR,Psidium,friedrichsthalianum,Myrtaceae,U,10,212,293,-2.31369613013985,0.201312909595045,0.737368862,8.95,0.005475,3.91772102654278,2.31369613013985,-0.201312909595045,1,3,2,3,9,15,205,psidfr,-2.31369613013985,-0.201312909595045
PSYCAC,Psychotria,acuminata,Rubiaceae,S,1,213,68,2.74334499788835,3.93033181169705,0.491597907,2.073333333,0.010628,2.46080909820894,-2.74334499788835,-3.93033181169705,1,1,1,4,7,7,206,psycac,2.74334499788835,-3.93033181169705
PSYCCH,Psychotria,chagrensis,Rubiaceae,S,1,214,73,0.195243222156672,3.19950602791766,0.595102397,1.988,0.009212571,2.54272622067683,-0.195243222156672,-3.19950602791766,1,2,1,4,7,1,207,psycch,0.195243222156672,-3.19950602791766
PSYCDE,Psychotria,deflexa,Rubiaceae,S,1,215,283,0.865156803400622,3.75515842247469,0.548433732,2.685,0.002618,3.8255309740747,-0.865156803400622,-3.75515842247469,1,2,1,4,7,1,208,psycde,0.865156803400622,-3.75515842247469
PSYCG1,Psychotria,graciliflora,Rubiaceae,S,1,216,229,1.61678494008499,3.44311664647825,NA,3.37,NA,3.74106520728451,-1.61678494008499,-3.44311664647825,1,1,1,4,7,7,209,psycg1,1.61678494008499,-3.44311664647825
PSYCG3,Psychotria,grandis,Rubiaceae,U,3,217,430,1.33457095440794,2.22973774556025,0.502394858,7.644,0.009815,4.24440525679783,-1.33457095440794,-2.22973774556025,1,1,1,4,7,2,210,psycg3,1.33457095440794,-2.22973774556025
PSYCHO,Psychotria,horizontalis,Rubiaceae,S,1,218,2461,-0.663195917611084,3.01973324275397,0.646169179,4.434,0.00422,8.45413167420923,0.663195917611084,-3.01973324275397,1,2,1,4,8,19,211,psycho,-0.663195917611084,-3.01973324275397
PSYCLI,Psychotria,limonensis,Rubiaceae,S,1,219,161,-0.902897725011192,3.79983283179935,0.376676852,2.215,0.006614,3.49650756146648,0.902897725011192,-3.79983283179935,1,2,1,4,8,19,212,psycli,-0.902897725011192,-3.79983283179935
PSYCMA,Psychotria,marginata,Rubiaceae,S,1,220,2103,-0.50631498401962,3.55861646001808,0.58950007,3.62,0.007696,6.46079830918565,0.50631498401962,-3.55861646001808,1,2,1,4,8,19,213,psycma,-0.50631498401962,-3.55861646001808
PSYCPI,Psychotria,pittieri,Rubiaceae,S,1,221,21,0.854129159734736,3.07437758881414,NA,2.3,8.29167e-4,1.27296567581289,-0.854129159734736,-3.07437758881414,1,2,1,4,7,1,214,psycpi,0.854129159734736,-3.07437758881414
PSYCPS,Psychotria,psychotriifolia,Rubiaceae,S,1,222,3,1.13227334611512,2.0496564077905,NA,NA,NA,-0.847297860387203,-1.13227334611512,-2.0496564077905,1,2,1,4,7,2,215,psycps,1.13227334611512,-2.0496564077905
PSYCRA,Psychotria,racemosa,Rubiaceae,S,1,223,7,1.96425354365432,3.98488414006969,0.621581137,1.86,0.002523333,0.693147180559945,-1.96425354365432,-3.98488414006969,1,1,1,4,7,7,216,psycra,1.96425354365432,-3.98488414006969
PTEROF,Pterocarpus,officinalis,Fabaceae:Papil.,T,30,224,25,1.06877075329881,-0.264895291399663,0.525703965,NA,NA,1.31218638896617,-1.06877075329881,0.264895291399663,1,2,2,5,2,6,217,pterof,1.06877075329881,0.264895291399663
PTERRO,Pterocarpus,rohrii,Fabaceae:Papil.,T,30,225,3140,-0.782825585789721,0.520815497581617,0.49569201,20.26087037,0.17262,7.31967569714685,0.782825585789721,-0.520815497581617,1,2,2,5,4,10,218,pterro,-0.782825585789721,-0.520815497581617
QUARAS,Quararibea,asterolepis,Bombacaceae,T,30,226,4000,-0.931342431301245,-1.93914748805814,0.468114661,33.49336967,0.0799725,7.73004925384878,0.931342431301245,1.93914748805814,1,2,3,2,11,16,219,quaras,-0.931342431301245,1.93914748805814
QUASAM,Quassia,amara,Simaroubaceae,U,4,227,857,-2.19777725482782,-0.342179010747488,0.526503508,7.344,0.15068,4.93344565540513,2.19777725482782,0.342179010747488,1,3,2,3,10,15,220,quasam,-2.19777725482782,0.342179010747488
RANDAR,Randia,armata,Rubiaceae,U,5,228,2961,-1.17389875086978,-0.0156496182544443,0.642794245,11.3375,0.085212,6.96764013143837,1.17389875086978,0.0156496182544443,1,3,2,3,4,20,221,randar,-1.17389875086978,0.0156496182544443
RANDFO,Rosenbergiodendron,formosum,Rubiaceae,U,2,229,23,-0.416818432818299,-0.606923213386604,NA,7.9,0.03848125,1.23214368129263,0.416818432818299,0.606923213386604,1,2,2,5,5,13,222,randfo,-0.416818432818299,0.606923213386604
RAUVLI,Rauvolfia,littoralis,Apocynaceae,M,-9,230,3,-0.0595101210356474,1.6290194052921,0.484061113,4.15,NA,-0.559615787935424,0.0595101210356474,-1.6290194052921,1,2,1,4,8,14,223,rauvli,-0.0595101210356474,-1.6290194052921
RINOSY,Rinorea,sylvatica,Violaceae,S,2,231,2734,-2.74583615475695,1.41657148738217,0.673176527,7.031666667,NA,7.79899190436344,2.74583615475695,-1.41657148738217,1,3,1,3,9,18,224,rinosy,-2.74583615475695,-1.41657148738217
SAPIAU,Sapium,glandulosum,Euphorbiaceae,T,30,232,257,2.71718718514769,-0.381376118048393,0.50156732,29.21728083,0.009499444,3.74782198974739,-2.71718718514769,0.381376118048393,1,1,2,1,13,9,225,sapiau,2.71718718514769,0.381376118048393
SAPISP,Sapium,broadleaf,Euphorbiaceae,T,30,233,19,0.933532127326294,-2.05838527052494,0.478756477,27.89936497,NA,1.09861228866811,-0.933532127326294,2.05838527052494,1,2,3,2,12,4,226,sapisp,0.933532127326294,2.05838527052494
SCH2MO,Schefflera,morototoni,Araliaceae,T,30,234,2,0.642714581289386,-1.21080655125894,NA,NA,NA,-1.25276296849537,-0.642714581289386,1.21080655125894,1,2,3,2,5,17,227,sch2mo,0.642714581289386,1.21080655125894
SCHIPA,Schizolobium,parahyba,Fabaceae:Caesal.,T,30,235,91,-0.00274489029437949,-0.991254106808207,0.49026262,16.45697452,NA,2.78147766965702,0.00274489029437949,0.991254106808207,1,2,3,2,5,13,228,schipa,-0.00274489029437949,0.991254106808207
SENNDA,Senna,dariensis,Fabaceae:Caesal.,S,1,236,720,2.66195260092179,2.08186560293315,0.494765154,7.764,NA,4.83628190695148,-2.66195260092179,-2.08186560293315,1,1,1,1,6,2,229,sennda,2.66195260092179,-2.08186560293315
SIMAAM,Simarouba,amara,Simaroubaceae,T,30,237,3460,2.40322447920449,-0.385327667715807,0.389849281,30.052676,0.11114,7.19153689740055,-2.40322447920449,0.385327667715807,1,1,2,1,13,12,230,simaam,2.40322447920449,0.385327667715807
SIPAGU,Siparuna,guianensis,Monimiaceae,M,10,238,192,-0.523585212953691,-1.90103994928578,NA,10.17166667,0.005866667,3.43858491373377,0.523585212953691,1.90103994928578,1,2,3,2,11,16,231,sipagu,-0.523585212953691,1.90103994928578
SIPAPA,Siparuna,pauciflora,Monimiaceae,U,4,239,1719,-0.511782207745361,-0.169021096349853,0.45756465,7.74,NA,5.83731386728072,0.511782207745361,0.169021096349853,1,2,2,5,4,13,232,sipapa,-0.511782207745361,0.169021096349853
SLOATE,Sloanea,terniflora,Elaeocarpaceae,T,40,240,2183,-2.33703860957079,-1.02204438592713,0.814739155,34.12855734,NA,6.27368530512177,2.33703860957079,1.02204438592713,1,3,3,3,10,15,233,sloate,-2.33703860957079,1.02204438592713
SOLAAS,Solanum,asperum,Solanaceae,S,-9,241,24,3.22545082232263,2.19851378618554,NA,7.88,NA,1.51982575374441,-3.22545082232263,-2.19851378618554,1,1,1,1,6,7,234,solaas,3.22545082232263,-2.19851378618554
SOLAHA,Solanum,hayesii,Solanaceae,M,4,242,451,4.2447987794388,1.10381880753167,0.406959919,12.8275,0.002,4.30599373411057,-4.2447987794388,-1.10381880753167,1,1,1,1,6,5,235,solaha,4.2447987794388,-1.10381880753167
SOLAST,Solanum,steyermarkii,Solanaceae,S,2,243,22,1.66917537453134,1.93577752636976,0.362340637,4.25,NA,1.27296567581289,-1.66917537453134,-1.93577752636976,1,1,1,4,7,2,236,solast,1.66917537453134,-1.93577752636976
SOROAF,Sorocea,affinis,Moraceae,S,3,244,3008,-1.59335494194105,0.185643018605646,0.645791121,9.36,0.077688,7.99424678783783,1.59335494194105,-0.185643018605646,1,3,2,3,9,20,237,soroaf,-1.59335494194105,-0.185643018605646
SPACME,Spachea,membranacea,Malpighiaceae,U,10,245,95,-1.73918159588645,-0.732633719781601,NA,10.602,0.003295,2.70805020110221,1.73918159588645,0.732633719781601,1,3,2,3,10,20,238,spacme,-1.73918159588645,0.732633719781601
SPONMO,Spondias,mombin,Anacardiaceae,T,30,246,483,2.10131532214733,-1.06775544895941,0.423442397,27.00102302,0.024264,4.46261864200418,-2.10131532214733,1.06775544895941,1,1,3,1,13,8,239,sponmo,2.10131532214733,1.06775544895941
SPONRA,Spondias,radlkoferi,Anacardiaceae,T,30,247,1326,1.86648394737755,-0.661803614660257,0.362772143,30.84362668,0.01695,5.43059797727091,-1.86648394737755,0.661803614660257,1,1,2,1,13,12,240,sponra,1.86648394737755,0.661803614660257
STERAP,Sterculia,apetala,Sterculiaceae,T,40,248,345,0.469188020035952,-2.14691142169017,0.439252787,38.94969742,0.795122222,4.04054185622913,-0.469188020035952,2.14691142169017,1,2,3,2,12,4,241,sterap,0.469188020035952,2.14691142169017
STYLST,Stylogyne,turbacensis,Myrsinaceae,S,3,249,2311,-1.90328784699367,1.30954464138845,0.569245822,8.22,0.0359,6.57108302235826,1.90328784699367,-1.30954464138845,1,3,1,3,9,18,242,stylst,-1.90328784699367,-1.30954464138845
SWARS1,Swartzia,simplex_var.grandiflora,Fabaceae:Papil.,U,8,250,3228,-4.01552672510941,-0.93958641560285,0.77270353,17.06308943,1.025,8.60460210842398,4.01552672510941,0.93958641560285,1,3,2,3,10,3,243,swars1,-4.01552672510941,0.93958641560285
SYMPGL,Symphonia,globulifera,Clusiaceae,T,30,251,1024,1.0405427727561,-0.222853266032176,0.54475073,28.02907183,1.02895,5.12651175148206,-1.0405427727561,0.222853266032176,1,2,2,5,2,6,244,sympgl,1.0405427727561,0.222853266032176
TAB1GU,Tabebuia,guayacan,Bignoniaceae,T,30,252,445,-1.52079212703164,-2.102780650734,0.789818795,36.80840454,0.02118,4.28653786749521,1.52079212703164,2.102780650734,1,3,3,2,11,16,245,tab1gu,-1.52079212703164,2.102780650734
TAB1RO,Tabebuia,rosea,Bignoniaceae,T,30,253,1655,-0.136355143760351,-0.225381890109909,0.488671865,40.42032808,0.018505,5.60106396846121,0.136355143760351,0.225381890109909,1,2,2,5,1,13,246,tab1ro,-0.136355143760351,0.225381890109909
TAB2AR,Tabernaemontana,arborea,Apocynaceae,T,30,254,4000,-0.673680940761443,-1.37042273739264,0.537870046,28.14681763,0.06803125,7.30422769279494,0.673680940761443,1.37042273739264,1,2,3,2,11,16,247,tab2ar,-0.673680940761443,1.37042273739264
TACHVE,Tachigali,versicolor,Fabaceae:Caesal.,T,70,255,3203,0.841899499262011,0.17649663941168,0.582163046,32.59515066,0.105295,7.89271883113232,-0.841899499262011,-0.17649663941168,1,2,2,5,2,11,248,tachve,0.841899499262011,-0.17649663941168
TALINE,Talisia,nervosa,Sapindaceae,U,3,256,2040,-3.70867890260228,0.513610583119301,0.663137474,7.6275,0.353484,6.64062252043954,3.70867890260228,-0.513610583119301,1,3,2,3,9,3,249,taline,-3.70867890260228,-0.513610583119301
TALIPR,Talisia,princeps,Sapindaceae,M,8,257,2260,-3.62265804683598,0.279740402389559,0.725307436,11.82,0.4635,6.48985604366519,3.62265804683598,-0.279740402389559,1,3,2,3,9,3,250,talipr,-3.62265804683598,-0.279740402389559
TERMAM,Terminalia,amazonia,Combretaceae,T,30,258,321,-0.41831221006817,-2.63738608866609,0.665053959,31.54489354,0.00139,3.96488649498521,0.41831221006817,2.63738608866609,1,2,3,2,11,4,251,termam,-0.41831221006817,2.63738608866609
TERMOB,Terminalia,oblonga,Combretaceae,T,30,259,550,0.199046313988002,-2.48653014135732,0.634250897,35.40795242,0.005577778,4.5155580272984,-0.199046313988002,2.48653014135732,1,2,3,2,12,4,252,termob,0.199046313988002,2.48653014135732
TERNTE,Ternstroemia,tepezapote,Theaceae,U,2,260,5,0.527416564564121,-0.924108051510745,NA,NA,NA,-0.336472236621213,-0.527416564564121,0.924108051510745,1,2,2,2,5,17,253,ternte,0.527416564564121,0.924108051510745
TET2PA,Tetragastris,panamensis,Burseraceae,T,30,261,3936,-1.3748216946027,-0.477493142193027,0.588927298,31.34136028,0.29475,8.31563638919171,1.3748216946027,0.477493142193027,1,3,2,3,4,20,254,tet2pa,-1.3748216946027,0.477493142193027
TET4JO,Tetrathylacium,johansenii,Flacourtiaceae,T,30,262,44,0.474830595777976,-2.72075763043634,0.590028523,22.68851248,0.001,1.94591014905531,-0.474830595777976,2.72075763043634,1,2,3,2,12,4,255,tet4jo,0.474830595777976,2.72075763043634
THEOCA,Theobroma,cacao,Sterculiaceae,U,10,263,119,-1.11875291886737,-1.57339293829575,0.412669457,8,0.981755,2.95936462938312,1.11875291886737,1.57339293829575,1,3,3,2,11,16,256,theoca,-1.11875291886737,1.57339293829575
THEVAH,Thevetia,ahouai,Apocynaceae,U,2,264,545,0.0307213988851588,0.636907362343535,0.45702219,7.838,0.285662,4.49822110764513,-0.0307213988851588,-0.636907362343535,1,2,2,5,3,10,257,thevah,0.0307213988851588,-0.636907362343535
TOCOPI,Tocoyena,pittieri,Rubiaceae,M,16,265,51,0.0930240215424881,-2.57936512513022,0.635174452,15.70070877,0.657232396,2.13162729485041,-0.0930240215424881,2.57936512513022,1,2,3,2,12,4,258,tocopi,0.0930240215424881,2.57936512513022
TRATAS,Trattinnickia,aspera,Burseraceae,T,30,266,493,2.0122290202489,-1.51785675688504,0.438656897,29.0115917,0.00637,4.40322884232448,-2.0122290202489,1.51785675688504,1,1,3,1,13,8,259,tratas,2.0122290202489,1.51785675688504
TREMMI,Trema,micrantha,Ulmaceae,M,20,268,156,6.24434967470323,-0.579345488430843,0.402906778,25.45564882,4.42e-4,3.22457384598284,-6.24434967470323,0.579345488430843,1,1,2,1,13,5,260,tremmi,6.24434967470323,0.579345488430843
TRI1GI,Trichanthera,gigantea,Acanthaceae,U,4,269,52,0.665169616936606,0.483570809750438,0.541938859,8.895,NA,2.07944154167984,-0.665169616936606,-0.483570809750438,1,2,2,5,2,11,261,tri1gi,0.665169616936606,-0.483570809750438
TRI2PA,Trichilia,pallida,Meliaceae,M,8,270,2379,-0.360420932502777,-0.278403442105827,0.57316595,16.73941729,0.054078333,6.28626408732863,0.360420932502777,0.278403442105827,1,2,2,5,1,13,262,tri2pa,-0.360420932502777,0.278403442105827
TRI2TU,Trichilia,tuberculata,Meliaceae,T,30,271,4000,-0.97912011139743,-0.071305342110153,0.691552827,29.34672702,0.1095065,9.42034657643541,0.97912011139743,0.071305342110153,1,3,2,3,4,20,263,tri2tu,-0.97912011139743,0.071305342110153
TRI4GA,Trichospermum,galeottii,Tiliaceae,M,8,272,20,2.69356295465646,-0.519745638370634,0.296052163,NA,0.00107,1.145132304303,-2.69356295465646,0.519745638370634,1,1,2,1,13,9,264,tri4ga,2.69356295465646,0.519745638370634
TRIPCU,Triplaris,cumingiana,Polygonaceae,M,20,273,1842,0.348527418918876,-1.40278377012871,0.528769755,28.11824426,0.0543,5.69084196338047,-0.348527418918876,1.40278377012871,1,2,3,2,5,17,265,tripcu,0.348527418918876,1.40278377012871
TROPRA,Trophis,racemosa,Moraceae,M,8,274,1790,-1.51763200385253,0.882146063119696,0.631037454,18.43526405,NA,5.67773179745626,1.51763200385253,-0.882146063119696,1,3,2,3,9,18,266,tropra,-1.51763200385253,-0.882146063119696
TURPOC,Turpinia,occidentalis,Staphyleaceae,T,30,275,573,3.00696899209127,-0.67960361145537,0.406660348,22.61306891,0.004135,4.55237200042112,-3.00696899209127,0.67960361145537,1,1,2,1,13,9,267,turpoc,3.00696899209127,0.67960361145537
UNONPI,Unonopsis,pittieri,Annonaceae,M,8,276,2818,0.295498065322825,-0.0697637791597378,0.42829045,22.19034776,0.72482,6.56787724922609,-0.295498065322825,0.0697637791597378,1,2,2,5,1,11,268,unonpi,0.295498065322825,0.0697637791597378
URERBA,Urera,baccifera,Urticaceae,S,2,277,64,2.70404393488675,2.98633522656098,0.165,3.984404278,NA,2.42353770341171,-2.70404393488675,-2.98633522656098,1,1,1,4,7,7,269,urerba,2.70404393488675,-2.98633522656098
VIROSE,Virola,sebifera,Myristicaceae,M,20,278,3947,-0.0338727658456397,-0.989535716454436,0.487343249,30.49914993,0.1116605,7.51829694687792,0.0338727658456397,0.989535716454436,1,2,3,2,5,13,270,virose,-0.0338727658456397,0.989535716454436
VIROSP,Virola,multiflora,Myristicaceae,T,30,279,305,1.07973021103798,-2.49504526621556,0.447981976,30.12108245,0.71358,3.90052862600241,-1.07973021103798,2.49504526621556,1,2,3,2,12,4,271,virosp,1.07973021103798,2.49504526621556
VIROSU,Virola,surinamensis,Myristicaceae,T,30,280,1434,1.59051274668019,-3.08162320898785,0.407319298,37.272328,1.580256,5.43932077401126,-1.59051274668019,3.08162320898785,1,1,3,2,12,4,272,virosu,1.59051274668019,3.08162320898785
VISMBA,Vismia,baccifera,Clusiaceae,U,2,281,398,1.37422998199197,0.904831831083099,0.531295827,7.14,NA,4.17218704898604,-1.37422998199197,-0.904831831083099,1,1,2,1,6,2,273,vismba,1.37422998199197,-0.904831831083099
VISMBI,Vismia,billbergiana,Clusiaceae,U,5,282,18,0.568621902074443,0.900122950733593,0.461491043,4.74,NA,1.18958406687384,-0.568621902074443,-0.900122950733593,1,2,2,5,3,11,274,vismbi,0.568621902074443,-0.900122950733593
VOCHFE,Vochysia,ferruginea,Vochysiaceae,T,20,283,163,2.78671215693638,-0.959355520974472,0.388750068,18.33904198,0.0048029,3.3322045101752,-2.78671215693638,0.959355520974472,1,1,2,1,13,9,275,vochfe,2.78671215693638,0.959355520974472
XYL1MA,Xylopia,macrantha,Annonaceae,M,10,284,3098,-1.00694824605217,-1.04900257369954,0.840426465,19.75301199,0.116775,7.06634507094743,1.00694824605217,1.04900257369954,1,3,3,2,5,16,276,xyl1ma,-1.00694824605217,1.04900257369954
XYL2OL,Xylosma,oligandra,Flacourtiaceae,S,3,285,772,-0.0745994483764337,0.421425238246056,NA,8.510186065,NA,4.77068462446567,0.0745994483764337,-0.421425238246056,1,2,2,5,1,10,277,xyl2ol,-0.0745994483764337,-0.421425238246056
ZANTBE,Zanthoxylum,ekmanii,Rutaceae,T,30,286,1330,4.71629061511124,-1.13308331956517,0.435442308,31.06552678,0.014,5.42432049275177,-4.71629061511124,1.13308331956517,1,1,3,1,13,9,278,zantbe,4.71629061511124,1.13308331956517
ZANTP1,Zanthoxylum,panamense,Rutaceae,T,30,287,1290,2.40242232177279,-0.316396364315921,0.55206339,28.22124797,0.0013,5.38776624660237,-2.40242232177279,0.316396364315921,1,1,2,1,13,12,279,zantp1,2.40242232177279,0.316396364315921
ZANTPR,Zanthoxylum,acuminatum,Rutaceae,M,20,288,924,1.95319149364706,-0.419070786830679,0.579137381,23.22318516,0.011,4.97574803509582,-1.95319149364706,0.419070786830679,1,1,2,1,13,12,280,zantpr,1.95319149364706,0.419070786830679
ZANTSE,Zanthoxylum,setulosum,Rutaceae,M,20,289,6,0.266997542555407,-1.67243776687038,0.598394854,22.71624734,0.01,0,-0.266997542555407,1.67243776687038,1,2,3,2,12,17,281,zantse,0.266997542555407,1.67243776687038
ZUELGU,Zuelania,guidonia,Flacourtiaceae,M,20,290,234,0.580025713275203,0.280620640146787,0.618291782,18.17327748,0.009588929,3.62624388312245,-0.580025713275203,-0.280620640146787,1,2,2,5,2,11,282,zuelgu,0.580025713275203,-0.280620640146787
